Time (s),Position (mm)
0.00,8.9949
0.06,8.9949
0.11,8.9902
0.16,8.9875
0.21,8.9902
0.26,8.9929
0.32,9.0869
0.37,10.4351
0.44,10.9655
0.50,11.3690
0.55,11.5832
0.61,11.6664
0.67,11.7960
0.73,11.8457
0.82,11.9384
0.87,12.0015
0.92,12.0646
0.99,12.0854
1.04,12.1217
1.09,12.1552
1.16,12.1734
1.21,12.2009
1.26,12.2277
1.32,12.2419
1.38,12.2774
1.43,12.3029
1.50,12.3177
1.55,12.3412
1.60,12.3513
1.66,12.3600
1.71,12.3721
1.76,12.3835
1.83,12.3875
1.89,12.4063
1.94,12.4124
2.02,12.4238
2.07,12.4318
2.12,0.9453
2.19,12.4433
2.24,12.4486
2.29,12.4540
2.36,12.4587
2.41,12.4694
2.46,12.4748
2.53,12.4836
2.58,12.4836
2.63,12.4916
2.71,12.4990
2.76,12.5017
2.81,12.5091
2.88,12.5165
2.93,12.5191
2.98,12.5292
3.05,12.5366
3.10,12.5379
3.15,12.5467
3.21,12.5527
3.27,12.5594
3.32,12.5655
3.39,12.5749
3.45,12.5829
3.50,12.5890
3.56,12.5950
3.61,12.5964
3.66,12.6017
3.72,12.6138
3.77,12.6131
3.82,12.6172
3.89,12.6225
3.94,12.6266
4.00,12.6313
4.05,12.6433
4.10,12.6427
4.15,12.6460
4.20,12.6494
4.26,12.6561
4.31,12.6548
4.36,12.6588
4.41,12.6635
4.47,12.6635
4.52,12.6655
4.60,12.6756
4.65,12.6736
4.70,12.6756
4.76,12.6809
4.81,12.6796
4.86,12.6823
4.93,12.6890
4.99,12.6890
5.04,12.6944
5.10,12.7011
5.16,12.6977
5.21,12.6991
5.28,12.7038
5.33,12.7044
5.38,12.7058
5.45,12.7132
5.50,12.7092
5.55,12.7112
5.62,12.7172
5.67,12.7152
5.73,12.7165
5.78,12.7259
5.84,12.7212
5.90,12.7212
5.95,12.7259
6.01,12.7239
6.06,12.7253
6.12,12.7353
6.17,12.7280
6.22,12.7300
6.27,12.7333
6.33,12.7367
6.38,12.7340
6.43,12.7353
