Time (s),Position (mm)
0.00,8.8472
0.08,8.8425
0.13,8.8425
0.18,8.8378
0.25,8.8391
0.30,8.8317
0.35,8.8223
0.41,8.8277
0.46,10.3995
0.51,10.9615
0.56,11.2152
0.62,11.3643
0.67,11.5463
0.72,11.6403
0.77,11.7114
0.82,11.7450
0.87,11.8464
0.92,11.8981
0.98,11.9196
1.03,11.9706
1.09,12.0230
1.17,12.0539
1.22,12.0988
1.27,12.1217
1.33,12.1291
1.38,12.1559
1.43,12.1834
1.50,12.1982
1.55,12.2284
1.60,12.2539
1.66,12.2539
1.71,12.2747
1.76,12.2922
1.82,12.2922
1.87,12.3083
1.92,12.3238
1.98,12.3238
2.03,12.3432
2.08,12.3540
2.16,12.3654
2.21,12.3661
2.26,12.3741
2.31,12.3882
2.36,12.3882
2.41,12.3976
2.46,12.4043
2.53,12.4151
2.58,12.4184
2.63,12.4272
2.70,12.4379
2.75,12.4386
2.80,12.4433
2.86,12.4527
2.91,12.4540
2.96,12.4661
3.03,12.4661
3.08,12.4681
3.13,12.4748
3.20,11.7768
3.26,12.4829
3.31,12.4876
3.38,12.4929
3.43,12.4943
3.48,12.4977
3.54,12.5044
3.59,12.5024
3.64,12.5064
3.71,12.5084
3.76,12.5131
3.81,12.5185
3.86,12.5185
3.92,12.5245
3.97,12.5305
4.03,12.5332
4.08,12.5332
4.13,12.5393
4.19,12.5473
4.25,12.5440
4.30,12.5480
4.37,12.5581
4.42,12.5547
4.47,12.5581
4.52,12.5634
4.58,12.5641
4.63,12.5688
4.70,12.5735
4.75,12.5729
4.80,12.5755
4.87,12.5796
4.92,12.5802
4.97,12.5822
5.05,12.5903
5.10,12.5876
5.15,12.5896
5.21,12.5970
5.26,12.5930
5.31,12.5957
5.39,12.6017
5.44,12.6010
5.49,12.6031
5.56,12.6105
5.61,12.6064
5.66,12.6118
5.71,12.6138
5.77,12.6125
5.82,12.6145
5.87,12.6232
5.92,12.6165
5.98,12.6178
6.06,12.6266
6.11,12.6232
6.16,12.6211
6.22,12.6266
6.27,12.6252
6.32,12.6299
6.38,12.6313
6.43,12.6292
6.48,12.6306
6.54,12.6366
6.59,12.6319
6.64,12.6340
6.71,12.6407
6.76,12.6366
6.81,12.6373
6.87,12.6454
6.92,12.6393
6.97,12.6407
7.04,12.6440
7.09,12.6433
7.14,12.6454
7.20,12.6487
7.25,12.6467
7.31,12.6480
7.37,12.6534
7.42,12.6501
7.47,12.6514
7.53,12.6588
7.58,12.6541
7.63,0.9453
7.69,12.6595
7.74,12.6568
7.79,12.6581
7.85,12.6635
7.90,12.6588
7.95,12.6601
8.02,12.6662
8.07,12.6635
8.12,12.6628
8.18,12.6648
8.23,12.6642
8.28,12.6668
8.33,12.6702
8.39,12.6668
8.45,12.6675
8.50,12.6729
8.55,12.6729
8.60,12.6695
8.65,12.6729
8.72,12.6756
8.77,12.6695
8.82,12.6729
8.88,12.6776
8.93,12.6756
8.98,12.6756
9.05,12.6796
9.10,12.6769
9.15,12.6783
9.22,12.6850
9.27,12.6803
9.32,12.6803
9.37,12.6904
9.42,12.6816
9.47,12.6836
9.54,12.6910
9.59,12.6850
9.64,12.6856
9.71,12.6950
9.76,12.6877
9.81,12.6883
9.87,12.6944
9.92,12.6897
9.97,12.6944
10.02,12.6944
10.08,12.6937
10.13,12.6930
10.20,12.6964
10.25,12.6937
10.30,12.6950
10.36,12.6997
10.42,12.6964
10.47,12.6971
10.53,12.7038
10.58,12.6977
10.63,12.6984
10.68,12.7051
10.73,12.6997
10.79,12.7004
10.85,12.7051
10.90,12.7018
10.95,12.7044
11.01,12.7044
11.06,12.7031
11.11,12.7051
11.18,12.7085
11.23,12.7044
11.28,12.7058
11.36,12.7098
11.41,12.7071
11.46,12.7078
11.52,12.7132
11.57,12.7092
11.62,12.7098
11.68,12.7159
11.73,12.7105
11.78,12.7112
11.83,12.7159
11.88,12.7125
11.94,12.7125
11.99,12.7152
12.04,12.7179
12.09,12.7159
12.15,12.7145
12.20,12.7192
12.25,12.7192
12.30,12.7159
12.35,12.7172
12.43,12.7206
12.48,12.7179
12.53,12.7206
12.59,12.7219
12.65,12.7185
12.70,12.7192
12.76,12.7259
12.81,12.7199
12.86,12.7206
12.92,12.7232
12.97,12.7199
13.02,12.7212
13.07,12.7280
13.13,12.7226
13.18,12.7226
13.26,12.7306
13.31,12.7232
13.36,12.7246
13.43,12.7300
13.48,12.7253
13.53,12.7253
13.59,12.7306
13.64,12.7259
13.69,12.7259
13.75,12.7333
13.80,12.7273
13.85,12.7313
13.91,12.7313
13.97,12.7273
14.02,12.7300
14.08,12.7313
14.13,12.7293
14.18,12.7293
14.25,12.7367
14.30,12.7300
14.35,12.7306
14.41,12.7373
14.46,12.7313
14.51,12.7353
14.57,12.7353
14.62,12.7320
14.67,12.7320
14.76,12.7367
14.81,12.7333
14.86,12.7367
14.94,12.7380
14.99,12.7340
15.04,12.7387
15.10,12.7387
15.15,12.7340
15.20,12.7373
15.26,12.7373
15.31,12.7380
15.36,12.7380
15.42,12.7420
15.47,12.7387
15.52,12.7387
15.59,12.7454
15.64,12.7400
15.69,12.7407
15.75,12.7474
15.80,12.7407
15.85,12.7407
15.92,12.7447
15.97,12.7420
16.02,12.7393
16.08,12.7447
16.13,12.7441
16.18,12.7427
16.26,12.7494
16.31,12.7441
16.36,12.7461
16.43,12.7461
16.48,12.7441
16.53,12.7447
16.60,12.7460
16.65,12.7454
16.70,12.7461
16.75,12.7501
16.80,12.7468
16.86,12.7468
16.91,12.7514
16.96,12.7461
17.01,12.7474
17.06,12.7501
17.11,12.7514
17.17,12.7487
17.22,12.7501
17.27,12.7528
17.32,12.7494
17.37,12.7481
17.43,12.7521
17.49,12.7487
