Time (s),Position (mm)
0.00,8.9613
0.05,8.9681
0.11,8.9613
0.16,8.9573
0.21,8.9607
0.26,8.9600
0.31,8.9459
0.37,9.1554
0.43,10.1021
0.48,10.9856
0.53,11.4315
0.60,11.5080
0.66,11.6604
0.71,11.7463
0.76,11.8437
0.82,11.8437
0.87,11.9310
0.92,11.9880
1.00,12.0068
1.05,12.0384
1.11,12.0888
1.16,12.1096
1.21,12.1096
1.26,12.1458
1.31,12.1828
1.37,12.1828
1.42,12.2110
1.47,12.2338
1.53,12.2438
1.58,11.5580
1.63,12.2835
1.70,12.2969
1.75,12.3144
1.80,12.3244
1.86,12.3365
1.91,12.3426
1.96,12.3560
2.03,12.3560
2.08,12.3654
2.13,12.3768
2.20,12.3828
2.25,12.3842
2.31,12.3929
2.36,12.4057
2.41,12.4084
2.46,12.4151
2.51,12.4265
2.58,12.4292
2.63,12.4339
2.68,12.4386
2.75,12.4453
2.80,12.4473
2.85,12.4547
2.90,12.4668
2.95,12.4668
3.00,12.4715
3.05,12.4762
3.13,12.4849
3.18,12.4862
3.23,12.4923
3.28,12.4977
3.33,12.4990
3.39,12.5037
3.44,12.5104
3.49,12.5097
3.54,12.5124
3.59,12.5165
3.67,12.5218
3.72,12.5252
3.77,12.5299
3.85,12.5359
3.90,12.5386
3.95,12.5433
4.03,12.5480
4.08,12.5514
4.13,12.5534
4.21,12.5594
4.26,12.5608
4.31,12.5648
4.36,12.5708
4.41,12.5722
4.46,12.5742
4.53,12.5843
4.59,12.5829
4.64,12.5876
4.71,12.5943
4.76,12.5923
4.81,12.5950
4.87,12.5984
4.92,12.5990
4.97,12.6017
5.04,12.6084
5.09,12.6078
5.14,12.6105
5.21,12.6178
5.26,12.6145
5.31,12.6158
5.37,12.6225
5.42,12.6198
5.47,12.6205
5.54,12.6259
5.60,12.6252
5.65,12.6272
5.72,12.6340
5.77,12.6326
5.82,12.6353
5.89,12.6413
5.94,12.6386
5.99,12.6400
6.07,12.6454
6.12,12.6440
6.17,12.6467
6.24,12.6534
6.29,12.6487
6.34,12.6541
6.41,12.6574
6.46,12.6554
6.51,12.6568
6.59,12.6635
6.64,12.6601
6.69,12.6621
6.76,12.6675
6.81,12.6648
6.86,12.6668
6.93,12.6729
6.98,12.6702
7.03,12.6722
7.08,12.6783
7.13,12.6742
7.19,12.6756
7.27,12.6809
7.33,12.6789
7.38,12.6816
7.45,12.6877
7.50,12.6830
7.55,12.6843
7.62,12.6890
7.67,12.6856
7.72,12.6877
7.79,12.6944
7.84,12.6883
7.89,12.6924
7.96,12.6930
8.01,12.6917
8.06,12.6937
8.13,12.7011
8.18,12.6937
8.23,12.6950
8.30,12.7004
8.35,12.6964
8.40,12.6971
8.45,12.7011
8.51,12.6991
8.56,12.7004
8.63,12.7038
8.68,12.7011
8.73,12.7018
8.79,12.7078
8.85,12.7031
8.90,12.7038
8.95,12.7058
9.00,12.7044
9.05,12.7051
9.12,12.7077
9.18,12.7065
9.23,12.7071
9.28,12.7138
9.34,12.7078
9.39,12.7092
9.45,12.7159
9.51,12.7105
9.56,12.7132
9.61,12.7132
9.66,12.7112
9.71,12.7118
9.78,12.7125
9.84,12.7132
9.89,12.7138
9.95,12.7185
10.00,12.7152
10.05,12.7152
10.12,12.7239
10.17,12.7165
10.22,12.7192
10.28,12.7192
10.34,12.7179
10.39,12.7192
10.45,12.7219
10.50,12.7192
10.55,12.7199
10.61,12.7293
10.66,12.7212
10.71,12.7226
10.78,12.7259
10.83,12.7232
10.88,12.7246
10.94,12.7246
10.99,12.7246
11.04,12.7259
11.11,12.7300
11.16,12.7266
11.21,12.7273
11.27,12.7333
11.32,12.7286
11.37,12.7293
11.46,12.7333
11.51,12.7306
11.56,12.7340
11.64,12.7320
11.69,12.7320
11.74,12.7326
11.82,12.7373
11.87,12.7347
11.92,12.7353
12.00,12.7387
12.05,12.7367
12.10,12.7367
12.16,12.7420
12.21,12.7380
12.26,12.7387
12.31,12.7387
12.37,12.7434
12.42,12.7400
12.47,12.7407
12.56,12.7447
12.61,12.7414
12.66,12.7427
12.74,12.7474
12.79,12.7434
12.84,12.7441
12.92,12.7508
12.97,12.7454
13.02,12.7481
13.09,12.7494
13.14,12.7468
13.19,12.7468
13.26,12.7541
13.31,12.7487
13.36,12.7487
13.41,12.7528
13.47,12.7501
13.52,12.7501
13.58,12.7541
13.63,12.7521
13.68,12.7528
13.76,12.7595
13.81,12.7541
13.86,12.7548
13.93,12.7582
13.98,12.7561
14.03,12.7575
14.12,12.7635
14.17,12.7588
14.22,12.7595
14.30,12.7635
14.35,12.7608
14.40,12.7615
14.47,12.7656
14.52,12.7622
14.57,12.7629
14.62,12.7675
14.67,12.7675
14.72,12.7629
14.78,12.7649
14.84,12.7702
14.89,12.7656
14.94,12.7656
15.00,12.7682
15.05,12.7669
15.10,12.7669
15.17,12.7716
15.22,12.7675
15.27,12.7689
15.33,12.7756
15.38,12.7689
15.43,12.7696
15.50,12.7756
15.55,12.7702
15.60,12.7723
15.66,12.7749
15.71,12.7723
15.76,12.7729
15.82,12.7770
15.87,12.7736
15.93,12.7736
16.02,12.7796
16.07,12.7770
16.12,12.7756
16.18,12.7783
16.24,12.7763
16.29,12.7776
16.35,12.7803
16.41,12.7783
16.46,12.7783
16.54,12.7830
16.59,12.7796
16.64,12.7796
16.72,12.7844
16.77,12.7810
16.82,12.7810
16.90,12.7857
16.95,12.7830
17.00,12.7830
