Time (s),Position (mm)
0.00,8.9466
0.05,8.9459
0.10,8.9405
0.15,8.9378
0.21,8.9412
0.26,8.9405
0.31,8.9345
0.36,10.1544
0.43,10.7923
0.48,11.1830
0.53,11.5073
0.59,11.5617
0.66,11.7396
0.71,11.7940
0.76,11.8551
0.81,11.9209
0.87,11.9511
0.93,11.9988
0.98,12.0169
1.03,12.0351
1.08,12.0599
1.16,12.0720
1.21,12.1049
1.26,12.1398
1.34,12.1546
1.39,12.1787
1.44,12.1962
1.51,12.2056
1.56,12.2190
1.61,12.2271
1.66,12.2472
1.71,12.2472
1.76,12.2647
1.81,12.2808
1.87,12.2902
1.92,12.3002
1.97,12.3184
2.05,12.3318
2.10,12.3405
2.15,12.3580
2.22,12.3687
2.27,12.3741
2.32,12.3808
2.39,12.3896
2.45,12.3963
2.50,12.4030
2.56,12.4117
2.61,12.4144
2.66,12.4231
2.74,12.4318
2.79,12.4413
2.84,12.4466
2.91,12.4540
2.96,12.4607
3.01,12.4661
3.08,12.4748
3.13,12.4782
3.18,12.4822
3.25,12.4903
3.30,11.7876
3.35,12.4963
3.41,12.5044
3.46,12.5050
3.51,12.5104
3.57,12.5171
3.62,12.5198
3.67,12.5258
3.74,12.5339
3.79,11.8312
3.84,12.5406
3.91,12.5460
3.96,12.5480
4.01,12.5507
4.07,12.5594
4.12,12.5567
4.17,12.5594
4.25,12.5655
4.31,12.5655
4.36,12.5742
4.42,12.5742
4.47,12.5722
4.52,12.5769
4.58,12.5796
4.63,12.5782
4.68,12.5822
4.75,12.5855
4.80,12.5869
4.85,12.5917
4.91,12.5957
4.97,12.5937
5.02,12.5943
5.10,12.6037
5.15,12.5990
5.20,12.6010
5.26,12.6044
5.31,12.6037
5.36,12.6057
5.43,12.6084
5.48,12.6091
5.53,12.6111
5.58,12.6158
5.64,12.6131
5.69,12.6158
5.75,12.6225
5.81,12.6192
5.86,12.6198
5.91,12.6286
5.97,12.6266
6.02,12.6245
6.10,12.6313
6.15,12.6286
6.20,12.6292
6.26,12.6353
6.31,12.6346
6.37,12.6340
6.42,12.6400
6.48,12.6366
6.53,12.6380
6.58,12.6467
6.63,12.6467
6.68,12.6427
6.74,12.6454
6.80,12.6501
6.86,12.6474
6.91,12.6487
6.98,12.6568
7.03,12.6514
7.08,12.6534
7.13,12.6595
7.18,12.6561
7.24,12.6574
7.29,12.6635
7.34,12.6642
7.39,12.6615
7.44,12.6662
7.51,12.6689
7.57,12.6662
7.62,12.6675
7.69,12.6722
7.74,12.6729
7.79,12.6736
7.86,12.6816
7.91,12.6769
7.96,12.6823
8.03,12.6850
8.09,12.6843
8.14,12.6856
8.21,12.6910
8.26,12.6890
8.31,12.6937
8.36,12.6957
8.41,12.6944
8.46,12.6971
8.53,12.7011
8.59,12.6997
8.64,12.7024
8.70,12.7098
8.75,12.7071
8.80,12.7112
8.87,12.7179
8.92,12.7152
8.97,12.7206
9.03,12.7206
9.08,12.7206
9.13,12.7232
9.19,12.7300
9.25,12.7253
9.30,12.7266
9.36,12.7333
9.41,12.7293
9.46,12.7306
9.52,12.7400
9.57,12.7333
9.62,12.7347
9.69,12.7407
9.74,12.7367
9.79,12.7400
9.85,12.7420
9.90,12.7394
9.95,12.7427
10.01,12.7494
10.06,12.7434
10.11,12.7454
10.19,12.7528
10.24,12.7468
10.29,12.7508
10.35,12.7514
10.40,12.7487
10.46,12.7501
10.52,12.7555
10.57,12.7521
10.62,12.7528
10.68,12.7588
10.73,12.7548
10.79,12.7555
10.85,12.7629
10.90,12.7582
10.95,12.7615
11.01,12.7642
11.06,12.7615
11.11,12.7629
11.18,12.7689
11.23,12.7642
11.28,12.7649
11.34,12.7716
11.39,12.7669
11.44,12.7682
11.51,12.7763
11.56,12.7702
11.61,12.7749
11.66,12.7749
11.72,12.7723
11.77,12.7729
11.83,12.7776
11.89,12.7743
11.94,12.7763
12.00,12.7790
12.05,12.7756
12.10,12.7770
12.17,12.7837
12.22,12.7783
12.27,12.7783
12.33,12.7817
12.38,12.7810
12.43,12.7823
12.50,12.7870
12.55,12.7837
12.60,12.7837
12.66,12.7890
12.71,12.7850
12.76,12.7857
12.83,12.7944
12.88,12.7863
12.93,12.7917
12.99,12.7917
13.04,12.7877
13.09,12.7897
13.16,12.7917
13.21,12.7897
13.26,12.7897
13.31,12.7951
13.37,12.7904
13.42,12.7911
13.48,12.7984
13.54,12.7917
13.59,12.7924
13.65,12.7984
13.70,12.7924
13.75,12.7958
13.81,12.7984
13.87,12.7944
13.92,12.7944
13.97,12.8018
14.02,12.7951
14.07,12.7951
14.16,12.8038
14.21,12.7958
14.26,12.7971
14.33,12.8011
14.38,12.7971
14.43,12.7971
14.51,12.8038
14.56,12.8005
14.61,12.7998
14.67,12.8072
14.72,12.8005
14.77,12.8011
14.85,12.8072
14.90,12.8018
14.95,12.8025
15.01,12.8065
15.07,12.8025
15.12,12.8032
15.19,12.8105
15.24,12.8032
15.29,12.8038
15.36,12.8078
15.41,12.8051
15.46,12.8051
15.52,12.8119
15.58,12.8051
15.63,12.8058
15.71,12.8092
15.76,12.8065
15.81,12.8072
15.88,12.8152
15.93,12.8078
15.98,12.8092
16.06,12.8119
16.11,12.8078
16.16,12.8085
16.22,12.8119
16.27,12.8092
16.32,12.8099
16.40,12.8132
16.45,12.8099
16.50,12.8105
16.57,12.8139
16.62,12.8092
16.67,12.8099
16.74,12.8166
16.80,12.8099
16.85,12.8099
16.91,12.8139
16.96,12.8105
17.01,12.8112
17.08,12.8166
17.14,12.8112
17.19,12.8119
17.24,12.8159
17.29,12.8125
17.34,12.8119
17.41,12.8186
17.47,12.8125
17.52,12.8132
17.57,12.8199
17.63,12.8139
17.68,12.8139
17.76,12.8186
17.81,12.8118
17.86,12.8146
17.93,12.8186
17.99,12.8125
18.04,12.8159
18.11,12.8206
18.16,12.8159
18.21,12.8159
18.27,12.8246
18.32,12.8166
18.37,12.8186
18.45,12.8226
18.50,12.8172
18.55,12.8179
18.62,12.8246
18.67,12.8179
18.72,12.8199
18.79,12.8226
18.84,12.8186
18.89,12.8193
18.96,12.8266
19.01,12.8199
19.06,12.8219
19.13,12.8239
19.18,12.8206
19.23,12.8206
19.30,12.8273
19.35,12.8206
19.40,12.8213
19.47,12.8246
19.52,12.8213
19.57,12.8219
19.64,12.8287
19.69,12.8219
19.74,12.8226
19.81,12.8266
19.86,12.8226
19.92,12.8233
19.98,12.8233
20.04,12.8233
20.09,12.8273
20.17,12.8300
20.22,12.8246
20.27,12.8280
20.34,12.8273
20.39,12.8246
20.44,12.8253
20.49,12.8313
20.54,12.8260
20.60,12.8253
20.68,12.8307
20.73,12.8266
20.78,12.8266
20.85,12.8300
20.91,12.8266
20.96,12.8287
21.03,12.8320
21.08,12.8280
21.13,12.8280
21.18,12.8354
21.24,12.8287
21.29,12.8293
21.36,12.8327
21.41,12.8293
21.46,12.8307
21.51,12.8340
21.57,12.8293
21.62,12.8307
21.69,12.8360
21.74,12.8313
21.79,12.8307
21.85,12.8394
21.91,12.8313
21.96,12.8340
22.02,12.8340
22.07,12.8334
22.12,12.8327
22.18,12.8394
22.23,12.8327
22.28,12.8334
22.36,12.8414
22.41,12.8334
22.46,12.8360
22.51,12.8360
22.57,12.8340
22.62,12.8347
22.69,12.8394
22.74,12.8354
22.79,12.8354
22.86,12.8387
22.91,12.8360
22.96,12.8381
23.03,12.8401
23.08,12.8367
23.13,12.8374
23.20,12.8454
23.25,12.8374
23.30,12.8401
23.38,12.8421
23.43,12.8381
23.48,12.8407
23.55,12.8407
23.60,12.8339
23.65,12.8394
23.71,12.8448
23.77,12.8401
23.82,12.8401
23.87,12.8461
23.92,12.8407
