Time (s),Position (mm)
0.00,8.9251
0.08,8.9184
0.14,8.9184
0.19,8.9157
0.25,8.9177
0.31,8.9143
0.36,8.9016
0.41,10.0557
0.46,10.7473
0.51,11.1743
0.56,11.4368
0.62,11.4972
0.68,11.6772
0.73,11.7087
0.79,11.8107
0.84,11.8739
0.89,11.9176
0.94,11.9558
1.01,11.9780
1.06,12.0304
1.11,12.0827
1.18,12.0968
1.23,12.1243
1.28,12.1546
1.34,12.1713
1.39,12.1848
1.44,12.2062
1.52,12.2224
1.57,12.2438
1.62,12.2660
1.69,12.2848
1.74,12.2976
1.79,12.3097
1.87,12.3244
1.92,12.3399
1.97,12.3499
2.04,12.3607
2.09,12.3701
2.14,12.3802
2.21,12.3889
2.26,12.3976
2.31,12.4077
2.37,12.4211
2.42,12.4292
2.47,12.4379
2.53,12.4466
2.58,12.4547
2.63,12.4674
2.71,12.4782
2.76,12.4882
2.81,12.4956
2.86,12.5050
2.91,12.5070
2.97,12.5158
3.03,12.5265
3.09,12.5279
3.14,12.5386
3.20,12.5386
3.25,12.5413
3.30,11.8440
3.36,12.5567
3.42,12.5547
3.47,12.5581
3.52,12.5655
3.58,12.5634
3.63,12.5675
3.70,12.5702
3.75,12.5735
3.80,12.5769
3.86,12.5822
3.91,12.5829
3.96,12.5863
4.03,12.5950
4.08,12.5896
4.13,12.5943
4.19,12.6017
4.24,12.6010
4.29,12.6031
4.36,12.6131
4.41,12.6084
4.46,12.6111
4.52,12.6192
4.57,12.6158
4.62,12.6252
4.67,12.6252
4.73,12.6225
4.78,12.6245
4.83,12.6306
4.88,12.6292
4.93,12.6319
5.00,12.6366
5.05,12.6353
5.10,12.6400
5.16,12.6440
5.22,12.6440
5.27,12.6467
5.33,12.6554
5.38,12.6501
5.43,12.6541
5.50,12.6595
5.55,12.6581
5.60,12.6628
5.67,12.6662
5.72,12.6675
5.77,12.6736
5.82,12.6783
5.88,12.6769
5.94,12.6762
6.01,12.6856
6.07,12.6803
6.12,12.6843
6.20,12.6897
6.25,12.6877
6.30,12.6897
6.37,12.6977
6.42,12.6924
6.47,12.6950
6.54,12.7011
6.59,12.6977
6.64,12.6984
6.70,12.7038
6.76,12.7011
6.81,12.7031
6.87,12.7085
6.92,12.7051
6.97,12.7058
7.06,12.7092
7.11,12.7085
7.16,12.7098
7.23,12.7145
7.28,12.7125
7.33,12.7165
7.40,12.7185
7.45,12.7159
7.50,12.7179
7.57,12.7253
7.63,12.7206
7.68,12.7232
7.75,12.7259
7.80,12.7239
7.85,12.7253
7.92,12.7306
7.97,12.7280
8.02,12.7293
8.10,12.7353
8.15,12.7320
8.20,12.7340
8.29,12.7400
8.34,12.7367
8.39,12.7380
8.46,12.7447
8.51,12.7400
8.56,12.7414
8.64,12.7454
8.69,12.7447
8.74,12.7461
8.81,12.7535
8.86,12.7474
8.91,12.7501
8.98,12.7548
9.03,12.7514
9.08,12.7528
9.15,12.7588
9.20,12.7548
9.25,12.7555
9.32,12.7582
9.37,12.7575
9.42,12.7595
9.47,12.7649
9.52,12.7615
9.57,12.7629
9.65,12.7709
9.70,12.7642
9.75,12.7669
9.81,12.7723
9.86,12.7709
9.91,12.7736
9.98,12.7796
10.04,12.7776
10.09,12.7796
10.18,12.7850
10.23,12.7830
10.28,12.7844
10.34,12.7904
10.39,12.7863
10.45,12.7877
10.50,12.7937
10.55,12.7897
10.60,12.7904
10.65,12.7937
10.72,12.7964
10.78,12.7937
10.83,12.7971
10.90,12.7984
10.95,12.7964
11.00,12.7971
11.06,12.8017
11.11,12.7984
11.16,12.7991
11.22,12.8065
11.27,12.8005
11.32,12.8011
11.39,12.8045
11.44,12.8032
11.50,12.8038
11.56,12.8078
11.61,12.8045
11.66,12.8051
11.72,12.8139
11.77,12.8065
11.82,12.8065
11.88,12.8125
11.93,12.8078
11.98,12.8085
12.05,12.8119
12.11,12.8105
12.16,12.8099
12.23,12.8179
12.28,12.8112
12.33,12.8146
12.39,12.8146
12.44,12.8125
12.50,12.8139
12.56,12.8179
12.61,12.8146
12.66,12.8152
12.72,12.8226
12.77,12.8166
12.83,12.8172
12.88,12.8246
12.93,12.8179
12.98,12.8186
13.06,12.8226
13.11,12.8199
13.16,12.8206
13.22,12.8266
13.27,12.8213
13.32,12.8219
13.40,12.8266
13.46,12.8233
13.51,12.8239
13.57,12.8273
13.62,12.8246
13.67,12.8253
13.75,12.8320
13.80,12.8260
13.85,12.8266
13.91,12.8300
13.97,12.8273
14.02,12.8273
14.09,12.8354
14.14,12.8280
14.19,12.8307
14.27,12.8334
14.32,12.8300
14.37,12.8300
14.44,12.8360
14.49,12.8300
14.54,12.8313
14.61,12.8360
14.66,12.8320
14.71,12.8320
14.77,12.8381
14.83,12.8327
14.88,12.8334
14.93,12.8354
14.99,12.8334
15.04,12.8347
15.11,12.8394
15.16,12.8347
15.21,12.8354
15.27,12.8441
15.32,12.8354
15.37,12.8360
15.43,12.8421
15.48,12.8360
15.53,12.8367
15.60,12.8387
15.65,12.8381
15.70,12.8381
15.77,12.8434
15.82,12.8381
15.87,12.8387
15.92,12.8468
15.98,12.8387
16.03,12.8394
16.09,12.8441
16.14,12.8401
16.19,12.8401
16.27,12.8461
16.32,12.8421
16.37,12.8407
16.43,12.8481
16.48,12.8414
16.53,12.8421
16.61,12.8441
16.66,12.8427
16.71,12.8427
16.76,12.8481
16.82,12.8427
16.87,12.8434
16.93,12.8515
16.98,12.8434
17.03,12.8441
17.10,12.8495
17.15,12.8448
17.20,12.8475
17.27,12.8475
17.32,12.8454
17.37,12.8461
17.43,12.8495
17.49,12.8461
17.54,12.8461
17.60,12.8515
17.65,12.8468
17.70,12.8488
17.77,12.8522
17.82,12.8481
17.87,12.8481
17.93,12.8542
17.99,12.8481
18.04,12.8488
18.09,12.8542
18.15,12.8495
18.20,12.8501
18.26,12.8562
18.31,12.8501
18.37,12.8495
18.43,12.8555
18.48,12.8508
18.53,12.8508
18.61,12.8528
18.66,12.8508
18.71,12.8522
18.77,12.8575
18.82,12.8522
18.87,12.8522
18.94,12.8602
18.99,12.8528
19.04,12.8535
19.11,12.8589
19.16,12.8528
19.21,12.8562
19.28,12.8595
19.33,12.8542
19.38,12.8548
19.45,12.8589
19.50,12.8555
19.55,12.8569
19.62,12.8602
19.68,12.8562
19.73,12.8562
19.80,12.8595
19.85,12.8569
19.90,12.8569
19.97,12.8636
20.02,12.8569
20.07,12.8582
20.13,12.8636
20.18,12.8575
20.23,12.8582
20.31,12.8615
20.36,12.8589
20.41,12.8589
20.49,12.8649
20.54,12.8595
20.59,12.8602
20.65,12.8656
20.71,12.8602
20.76,12.8609
20.84,12.8669
20.89,12.8609
20.94,12.8609
21.01,12.8663
21.06,12.8622
21.11,12.8615
21.18,12.8656
21.23,12.8629
21.28,12.8663
21.35,12.8656
21.41,12.8629
21.46,12.8636
21.52,12.8710
21.57,12.8636
21.62,12.8636
21.69,12.8683
21.74,12.8649
21.79,12.8649
21.87,12.8723
21.92,12.8656
21.97,12.8689
22.02,12.8689
22.08,12.8669
22.13,12.8656
22.20,12.8743
22.26,12.8669
22.31,12.8676
22.38,12.8703
22.43,12.8676
22.48,12.8683
22.55,12.8757
22.60,12.8689
22.65,12.8723
22.71,12.8710
22.77,12.8696
22.82,12.8703
22.89,12.8770
22.94,12.8703
22.99,12.8710
23.04,12.8783
23.10,12.8710
23.15,12.8716
23.22,12.8750
23.28,12.8723
23.33,12.8723
23.40,12.8777
23.45,12.8723
23.50,12.8750
23.57,12.8770
23.62,12.8757
23.67,12.8743
23.74,12.8817
23.79,12.8750
23.84,12.8783
23.90,12.8783
23.95,12.8757
24.00,12.8770
24.06,12.8810
24.12,12.8777
24.17,12.8777
24.24,12.8844
24.29,12.8777
24.34,12.8797
24.41,12.8817
24.46,12.8790
24.51,12.8790
24.58,12.8864
24.63,12.8769
24.68,12.8797
24.74,12.8857
24.79,12.8803
24.84,12.8837
24.91,12.8844
24.96,12.8810
25.01,12.8817
25.07,12.8857
25.12,12.8824
25.17,12.8817
25.25,12.8864
25.30,12.8837
25.35,12.8851
25.41,12.8938
25.46,12.8857
25.52,12.8857
25.60,12.8911
25.65,12.8864
25.70,12.8871
25.77,12.8931
25.82,12.8871
25.87,12.8877
25.93,12.8924
25.99,12.8877
26.04,12.8877
26.11,12.8951
26.16,12.8884
26.21,12.8911
26.27,12.8911
26.33,12.8891
26.38,12.8891
26.44,12.8945
26.49,12.8898
26.54,12.8898
26.61,12.8985
26.66,12.8904
26.71,12.8918
26.77,12.8951
26.82,12.8911
26.87,12.8931
26.94,12.8958
26.99,12.8918
27.04,12.8924
27.10,12.8971
27.15,12.8924
