Time (s),Position (mm)
0.00,19.5088
0.05,19.5164
0.10,20.5069
0.15,19.5239
0.21,19.5173
0.27,19.4306
0.32,17.9399
0.38,16.8208
0.43,16.3012
0.48,16.1428
0.53,15.8685
0.59,15.7949
0.64,15.6469
0.70,15.5583
0.76,15.4395
0.82,15.3748
0.87,15.2867
0.95,15.2368
1.00,15.1746
1.05,15.1312
1.11,15.1095
1.16,15.0548
1.21,15.0237
1.28,14.9992
1.33,14.9699
1.38,14.9275
1.43,14.9275
1.49,14.8898
1.54,14.8625
1.60,14.8493
1.65,14.8276
1.70,14.8115
1.76,14.7927
1.82,14.7757
1.87,14.7587
1.92,14.7342
1.97,14.7286
2.03,14.7192
2.08,14.6984
2.13,14.6984
2.18,14.6890
2.23,14.6777
2.30,14.6711
2.35,14.6531
2.40,14.6334
2.46,14.6249
2.51,14.6220
2.56,14.6013
2.63,14.5853
2.69,14.5825
2.74,14.5683
2.81,14.5600
2.86,14.5438
2.91,14.5344
2.98,14.5221
3.03,14.5174
3.08,14.5117
3.15,14.4995
3.20,14.4976
3.25,14.4919
3.31,14.4806
3.36,14.4816
3.41,14.4778
3.48,14.4674
3.54,14.4665
3.59,14.4608
3.66,14.4523
3.71,14.4514
3.76,14.4467
3.83,14.4450
3.88,14.4401
3.93,14.4325
4.00,14.4250
4.05,14.4222
4.10,14.4193
4.17,14.4137
4.22,14.4071
4.27,14.4033
4.34,14.3920
4.39,14.3958
4.44,14.3891
4.51,14.3797
4.56,14.3788
4.61,14.3722
4.67,14.3609
4.72,14.3627
4.78,14.3571
4.85,14.3477
4.90,14.3458
4.95,14.3392
5.02,14.3279
5.07,14.3326
5.12,14.3241
5.19,14.3147
5.24,14.3175
5.29,14.3118
5.35,14.3090
5.40,14.3052
5.46,14.2996
5.53,14.2902
5.58,14.2939
5.63,14.2921
5.70,14.2873
5.75,14.2864
5.80,14.2835
5.86,14.2835
5.91,14.2788
5.96,14.2751
6.02,14.2647
6.07,14.2732
6.12,14.2694
6.17,14.2600
6.22,14.2666
6.28,14.2647
6.36,14.2590
6.41,14.2590
6.46,14.2553
6.52,14.2553
6.57,14.2515
6.62,14.2496
6.68,14.2383
6.73,14.2468
6.78,14.2430
6.85,14.2317
6.90,14.2383
6.95,14.2364
7.01,14.2289
7.06,14.2317
7.11,14.2298
7.17,14.2270
7.23,14.2260
7.28,14.2166
7.33,14.2166
7.38,14.2204
7.43,14.2176
7.50,14.2091
7.55,14.2147
7.60,14.2119
7.67,14.2025
7.72,14.2100
7.77,14.2081
7.84,14.2043
7.89,14.2043
7.94,14.2006
8.01,14.1949
8.06,14.2006
8.11,14.1987
8.18,14.1921
8.23,14.1949
8.28,14.1921
8.36,14.1874
8.41,14.1893
8.46,14.1883
8.52,14.1817
8.58,14.1865
8.63,14.1817
8.69,14.1798
8.74,14.1817
8.79,14.1798
8.85,14.1742
8.90,14.1770
8.95,14.1751
9.03,14.1695
9.08,14.1723
9.13,14.1704
9.21,14.1638
9.26,14.1676
9.32,14.1657
9.37,14.1591
9.43,14.1638
9.48,14.1619
9.53,14.1591
9.58,14.1544
9.63,14.1582
9.68,14.1563
9.76,14.1506
9.81,14.1525
9.86,14.1515
9.92,14.1412
9.97,14.1497
10.02,14.1478
10.11,14.1412
10.16,14.1440
10.21,14.1421
10.28,14.1355
10.33,14.1402
10.38,14.1384
10.45,14.1289
10.50,14.1355
10.55,14.1346
10.62,14.1233
10.67,14.1318
10.72,14.1308
10.78,14.1271
10.83,14.1271
10.88,14.1251
10.95,14.1157
11.01,14.1223
11.06,14.1204
11.11,14.1148
11.16,14.1186
11.22,14.1167
11.28,14.1138
11.34,14.1138
11.39,14.1129
11.44,14.1129
11.49,14.1110
11.54,14.1091
11.61,14.0969
11.66,14.1073
11.71,14.1044
11.78,14.0978
11.83,14.1035
11.88,14.1025
11.95,14.0969
12.00,14.0997
12.05,14.0978
12.11,14.0893
12.17,14.0969
12.22,14.0950
12.30,14.0874
12.36,14.0922
12.41,14.0971
12.48,14.0846
12.54,14.0893
12.59,14.0884
12.66,14.0818
12.71,14.0865
12.76,14.0856
12.85,14.0790
12.90,14.0827
12.95,14.0827
13.01,14.0761
13.06,14.0799
13.11,14.0799
13.16,14.0724
13.22,14.0771
13.27,14.0771
13.32,14.0761
13.39,14.0695
13.44,14.0733
13.49,14.0733
13.57,14.0667
13.62,14.0714
13.67,-0.1820
13.73,14.0639
13.78,14.0686
13.84,14.0686
