Time (s),Position (mm)
0.00,19.1270
0.06,19.1232
0.11,19.1279
0.16,19.1298
0.22,19.1204
0.28,19.1298
0.33,19.1326
0.39,19.1222
0.45,19.1402
0.50,19.1581
0.55,17.6571
0.60,17.1979
0.65,15.9467
0.70,15.6922
0.76,15.5149
0.81,15.3905
0.86,15.2274
0.91,15.1397
0.97,15.0671
1.02,15.0105
1.07,14.9643
1.12,14.8530
1.18,14.7955
1.23,14.7446
1.28,14.7154
1.35,14.6758
1.40,14.6154
1.45,14.5928
1.53,14.5589
1.58,14.5146
1.63,14.4938
1.71,14.4665
1.77,14.4449
1.82,14.4155
1.88,14.3977
1.93,14.3835
1.98,14.3599
2.06,14.3514
2.11,14.3194
2.16,14.3071
2.22,14.2902
2.27,14.2798
2.33,14.2628
2.40,14.2603
2.45,14.2336
2.50,14.2242
2.57,14.2100
2.62,14.1978
2.67,14.1874
2.73,14.1704
2.78,14.1685
2.83,14.1553
2.89,14.1393
2.95,14.1346
3.00,14.1261
3.08,14.1110
3.13,14.1054
3.18,14.0940
3.23,14.0940
3.28,14.0846
3.33,14.0724
3.41,14.0592
3.46,14.0582
3.51,14.0497
3.57,14.0384
3.62,14.0309
3.67,14.0309
3.72,14.0262
3.77,14.0139
3.82,14.0148
3.87,14.0101
3.94,14.0007
4.00,13.9979
4.05,13.9894
4.12,13.9771
4.17,13.9809
4.22,13.9762
4.29,13.9677
4.34,13.9668
4.39,13.9602
4.45,13.9517
4.50,13.9536
4.56,13.9498
4.63,13.9366
4.68,13.9385
4.74,13.9356
4.82,13.9243
4.87,13.9253
4.92,13.9225
4.99,13.9111
5.04,13.9149
5.09,13.9092
5.16,13.9026
5.22,13.9036
5.27,13.9017
5.34,13.8913
5.39,13.8961
5.44,13.8904
5.49,13.8838
5.54,13.8885
5.59,13.8847
5.65,13.8734
5.70,13.8791
5.76,13.8772
5.81,13.8678
5.86,13.8668
5.92,13.8678
5.97,13.8640
6.02,13.8564
6.07,13.8574
6.12,13.8593
6.17,13.8404
6.22,13.8404
6.27,13.8480
6.32,13.8395
6.38,13.8395
6.43,13.8385
6.48,13.8367
6.55,13.8282
6.60,13.8300
6.65,13.8282
6.71,13.8178
6.76,13.8244
6.81,13.8206
6.88,13.8084
6.93,13.8159
6.98,13.8150
7.05,13.8093
7.10,13.8103
7.15,13.8103
7.21,13.7999
7.27,13.8046
7.32,13.8018
7.38,13.7905
7.43,13.7980
7.48,13.7970
7.55,13.7886
7.60,13.7942
7.65,13.7895
7.71,13.7857
7.76,13.7905
7.81,13.7876
7.88,13.7801
7.93,13.7848
7.98,13.7829
8.03,13.7735
8.09,13.7772
8.14,13.7791
8.21,13.7754
8.26,13.7754
8.31,13.7735
8.38,13.7669
8.43,13.7697
8.48,13.7678
8.54,13.7622
8.60,13.7650
8.65,13.7641
8.71,13.7575
8.76,13.7603
8.81,13.7575
8.87,13.7527
8.93,13.7565
8.98,13.7546
9.03,13.7471
9.08,13.7527
9.14,13.7518
9.21,13.7395
9.26,13.7499
9.31,13.7405
9.36,13.7405
9.41,13.7461
9.46,13.7452
9.54,13.7395
9.59,13.7424
9.64,13.7414
9.71,13.7320
9.76,13.7405
9.81,13.7348
9.88,13.7292
9.93,13.7358
9.98,13.7339
10.05,13.7292
10.10,13.7301
10.15,13.7311
10.22,13.7216
10.27,13.7292
10.32,13.7292
10.37,13.7188
10.42,13.7263
10.48,13.7254
10.54,13.7178
10.59,13.7244
10.64,13.7226
10.69,13.7216
10.75,13.7131
10.80,13.7207
10.85,13.7197
10.91,13.7169
10.96,13.7188
11.01,13.7178
11.07,13.7084
11.12,13.7160
11.17,13.7150
11.22,13.7141
11.29,13.7084
11.34,13.7122
11.39,13.7113
11.47,13.7095
11.52,13.7103
11.57,13.7094
11.65,13.7028
11.70,13.7075
11.75,13.7065
11.81,13.6999
11.86,13.7056
11.92,13.7047
11.97,13.6980
12.02,13.6990
12.07,13.6999
12.12,13.7018
12.20,13.6952
12.25,13.7009
12.30,13.6971
12.37,13.6933
12.42,13.6990
12.48,13.6980
12.53,13.6905
12.58,13.6962
12.63,13.6952
12.68,13.6905
12.75,13.6896
12.80,13.6933
12.85,13.6933
12.92,13.6867
12.97,13.6914
13.02,13.6914
13.07,13.6839
13.12,13.6896
13.18,13.6886
13.23,13.6886
13.30,13.6811
13.35,13.6867
13.40,13.6858
13.48,13.6801
13.53,13.6849
13.58,13.6839
13.66,13.6773
13.71,13.6820
13.76,13.6811
13.82,13.6716
13.87,13.6801
13.92,13.6792
13.99,13.6669
14.04,13.6773
14.09,13.6773
14.16,13.6688
14.21,13.6745
14.26,13.6745
14.31,13.6679
14.36,13.6679
14.41,13.6726
14.46,13.6688
14.52,13.6660
14.57,13.6707
14.63,13.6698
14.68,13.6632
