Time (s),Position (mm)
0.00,17.2818
0.05,17.2866
0.10,17.2875
0.16,17.2912
0.21,17.2837
0.27,17.2931
0.32,17.2950
0.38,15.9005
0.43,14.5532
0.48,14.1468
0.53,14.0017
0.60,13.7895
0.67,13.5529
0.72,13.4473
0.77,13.3973
0.82,13.3077
0.88,14.2558
0.93,13.1946
0.98,13.1691
1.04,13.1427
1.10,13.0861
1.15,13.0692
1.20,13.0192
1.25,12.9843
1.31,12.9664
1.36,12.9249
1.41,12.8976
1.48,12.8730
1.53,12.8344
1.58,12.8024
1.65,12.7901
1.70,12.7599
1.75,12.7439
1.82,12.7279
1.87,12.7090
1.93,12.6864
1.98,12.6722
2.04,12.6553
2.09,12.6270
2.16,12.6072
2.21,12.5912
2.26,12.5751
2.32,12.5666
2.38,12.5468
2.43,12.5318
2.51,12.5167
2.56,12.5120
2.61,12.4978
2.70,12.4827
2.75,12.4761
2.80,12.4686
2.87,12.4535
2.92,12.4507
2.97,12.4441
3.03,12.4346
3.08,12.4309
3.13,12.4186
3.20,12.4186
3.25,12.4092
3.30,12.3998
3.36,12.3894
3.41,12.3875
3.46,12.3818
3.53,12.3705
3.58,12.3724
3.63,12.3658
3.71,12.3564
3.76,12.3592
3.81,12.3517
3.90,12.3460
3.95,12.3460
4.00,12.3403
4.06,12.3300
4.12,12.3319
4.17,12.3290
4.25,12.3206
4.30,12.3196
4.35,12.3168
4.41,12.3121
4.47,12.3102
4.52,12.3083
4.59,12.2942
4.64,12.2998
4.69,12.2942
4.76,12.2819
4.81,12.2847
4.86,12.2800
4.93,12.2715
4.98,12.2706
5.03,12.2640
5.09,12.2536
5.14,12.2574
5.19,12.2517
5.26,12.2404
5.32,12.2414
5.37,12.2366
5.43,12.2366
5.48,12.2319
5.53,12.2281
5.60,12.2187
5.66,12.2225
5.71,12.2178
5.77,12.2121
5.82,12.2150
5.87,12.2121
5.95,12.2027
6.00,12.2065
6.05,12.2017
6.11,12.1904
6.16,12.1989
6.21,12.1961
6.28,12.1857
6.33,12.1923
6.38,12.1904
6.45,12.1876
6.51,12.1857
6.56,12.1829
6.62,12.1735
6.67,12.1791
6.72,12.1772
6.78,12.1640
6.83,12.1735
6.89,12.1706
6.95,12.1650
7.00,12.1669
7.05,12.1640
7.10,12.1603
7.16,12.1622
7.21,12.1593
7.28,12.1508
7.33,12.1555
7.38,12.1546
7.44,12.1424
7.49,12.1508
7.54,12.1499
7.61,12.1442
7.66,12.1461
7.71,12.1424
7.77,12.1367
7.82,12.1405
7.87,12.1376
7.94,12.1263
7.99,12.1348
8.04,12.1329
8.11,12.1216
8.16,12.1291
8.21,12.1282
8.29,12.1178
8.34,12.1244
8.39,12.1235
8.46,12.1169
8.51,12.1216
8.56,12.1207
8.63,12.1103
8.68,12.1178
8.73,12.1178
8.80,12.1112
8.85,12.1160
8.90,12.1150
8.97,12.1065
9.02,12.1122
9.07,12.1112
9.14,12.1056
9.19,12.1103
9.24,12.1094
9.32,12.0990
9.37,12.1056
9.42,12.1056
9.48,12.0999
9.53,12.1037
9.58,12.1018
9.65,12.0924
9.70,12.0999
9.75,12.0980
9.83,12.0924
9.88,12.0952
9.93,12.0933
9.98,12.0839
10.03,12.0914
10.08,12.0867
10.13,12.0820
10.18,12.0820
10.24,12.0858
10.29,12.0867
10.35,12.0754
10.40,12.0801
10.45,12.0792
10.51,12.0679
10.56,12.0763
10.61,12.0745
10.70,12.0688
10.75,12.0707
10.80,12.0688
10.86,12.0594
10.91,12.0660
10.96,12.0641
11.03,12.0613
11.09,12.0613
11.14,12.0556
11.19,12.0547
11.24,12.0575
11.29,12.0547
11.37,12.0452
11.42,12.0547
11.47,12.0537
11.52,12.0462
11.58,12.0528
11.63,12.0509
11.70,12.0481
11.75,12.0500
11.80,12.0481
11.86,12.0424
11.91,12.0471
11.96,12.0471
12.02,12.0396
12.07,12.0396
12.12,12.0443
12.17,12.0443
12.24,12.0339
12.29,12.0424
12.34,12.0415
12.41,12.0339
12.46,12.0405
12.51,12.0396
12.58,12.0302
12.63,12.0377
12.68,12.0377
12.74,12.0292
12.79,12.0358
12.84,12.0349
12.93,12.0283
12.98,12.0330
13.03,12.0311
13.09,12.0255
13.14,12.0311
13.19,12.0302
13.26,12.0207
13.31,12.0283
13.36,12.0273
13.42,12.0169
13.47,12.0264
13.52,12.0264
13.59,12.0217
13.64,12.0236
13.69,12.0236
13.75,12.0236
13.80,12.0226
13.85,12.0217
13.93,12.0122
13.98,12.0217
14.03,12.0188
14.08,12.0141
14.14,12.0198
14.19,12.0188
14.27,12.0104
14.32,12.0151
14.37,12.0160
14.44,12.0075
14.49,12.0160
14.55,12.0151
14.61,12.0038
14.66,12.0141
14.71,12.0141
14.77,12.0094
14.83,12.0132
14.88,12.0113
14.94,12.0113
14.99,12.0104
15.04,12.0104
15.10,12.0000
15.15,12.0094
15.20,12.0075
15.27,11.9972
15.32,12.0075
15.37,12.0066
15.42,11.9962
15.48,12.0066
15.53,12.0056
15.59,12.0009
15.64,12.0038
15.69,12.0028
15.74,12.0028
15.80,12.0028
15.85,12.0019
15.92,11.9943
15.98,12.0009
16.03,12.0000
16.11,11.9915
16.16,11.9991
16.21,11.9991
16.27,11.9877
16.32,11.9981
16.37,11.9972
16.44,11.9943
16.49,11.9962
16.54,11.9953
16.60,11.9953
16.66,11.9943
16.71,11.9943
16.77,11.9830
16.82,11.9934
16.87,11.9924
16.94,11.9849
16.99,11.9915
17.04,11.9915
17.10,11.9896
17.15,11.9896
17.20,11.9896
17.26,11.9896
17.31,11.9887
17.36,11.9887
17.43,11.9774
17.48,11.9877
17.53,11.9868
17.59,11.9792
17.64,11.9868
17.69,11.9858
17.76,11.9764
17.81,11.9858
17.86,11.9802
17.92,11.9802
17.97,11.9792
18.02,11.9802
18.10,11.9689
18.15,11.9802
18.20,11.9802
18.26,11.9764
18.31,11.9792
18.36,11.9783
18.43,11.9708
18.48,11.9783
18.53,11.9774
18.58,11.9670
18.64,11.9764
18.69,11.9764
18.76,11.9689
18.81,11.9764
18.86,11.9755
18.92,11.9727
18.97,11.9745
19.02,11.9745
19.10,11.9660
19.15,11.9736
19.20,11.9717
19.27,11.9670
19.32,11.9727
19.37,11.9717
19.45,11.9660
19.50,11.9717
19.55,11.9708
19.61,11.9632
19.66,11.9698
19.71,11.9708
19.77,11.9641
19.82,11.9698
19.88,11.9689
19.94,11.9604
20.00,11.9679
20.05,11.9679
20.10,11.9585
20.15,11.9641
20.20,11.9670
20.25,11.9632
20.31,11.9604
20.37,11.9651
20.42,11.9651
20.51,11.9594
20.56,11.9641
20.61,11.9641
20.69,11.9576
20.74,11.9623
20.79,11.9623
20.88,11.9557
20.93,11.9623
20.98,11.9613
21.05,11.9557
21.10,11.9604
21.15,11.9594
21.22,11.9510
21.27,11.9585
21.32,11.9585
21.39,11.9547
21.44,11.9576
21.49,11.9576
21.55,11.9519
21.60,11.9566
21.66,11.9566
21.71,11.9463
21.77,11.9557
21.82,-1.1706
21.88,11.9481
21.93,11.9538
21.99,11.9538
22.05,11.9491
22.11,11.9500
22.16,11.9547
22.23,11.9463
22.28,11.9547
22.33,11.9519
22.39,11.9472
22.44,11.9538
22.49,11.9538
22.56,11.9510
22.61,11.9528
22.66,11.9519
22.72,11.9453
22.77,11.9519
22.82,11.9519
22.89,11.9406
22.94,11.9510
22.99,11.9500
23.05,11.9415
23.10,11.9500
23.15,11.9491
23.23,11.9425
23.28,11.9491
23.33,11.9481
23.40,11.9415
23.45,11.9491
23.50,11.9453
23.56,11.9425
23.62,11.9472
23.67,11.9463
23.73,11.9359
23.78,11.9463
23.83,11.9463
23.90,11.9359
23.95,11.9453
24.00,11.9453
24.06,11.9415
24.11,11.9415
24.16,11.9434
24.23,11.9349
24.29,11.9434
24.34,11.9434
24.40,11.9368
24.45,11.9434
24.50,11.9396
24.56,11.9359
24.62,11.9415
24.67,11.9415
24.72,11.9330
24.78,11.9406
24.83,11.9406
24.90,11.9283
24.95,11.9396
25.00,11.9396
25.06,11.9321
25.11,11.9387
25.16,11.9387
25.23,11.9359
25.28,11.9387
25.33,11.9368
25.38,11.9302
25.44,11.9377
25.49,11.9377
25.56,11.9264
25.61,11.9377
25.66,11.9359
25.72,11.9312
25.77,11.9359
25.82,11.9349
25.89,11.9312
25.94,11.9349
25.99,11.9349
26.05,11.9246
26.11,11.9340
26.16,11.9330
26.23,11.9321
26.28,11.9330
26.33,11.9321
26.40,11.9217
26.45,11.9330
26.50,11.9330
26.55,11.9255
26.60,11.9321
26.66,11.9321
26.71,11.9236
26.77,11.9321
26.83,11.9321
26.88,11.9217
26.94,11.9321
26.99,11.9302
27.06,11.9274
27.12,11.9302
27.17,11.9302
27.23,11.9264
27.28,11.9302
27.34,11.9293
27.40,11.9217
27.45,11.9293
27.50,11.9293
27.57,11.9189
27.62,11.9293
27.67,11.9293
27.72,11.9264
27.78,11.9283
27.83,11.9283
27.90,11.9236
27.95,11.9283
28.00,11.9283
28.07,11.9170
28.12,11.9283
28.17,11.9274
28.24,11.9227
28.29,11.9283
28.34,11.9274
28.41,11.9208
28.46,11.9274
28.51,11.9274
28.58,11.9217
28.63,11.9264
28.68,11.9264
28.75,11.9161
28.80,11.9264
28.85,11.9264
28.91,11.9170
28.96,11.9264
29.01,11.9255
29.07,11.9227
29.12,11.9255
29.17,11.9255
29.24,11.9255
29.30,11.9246
29.35,11.9246
29.40,11.9132
29.45,11.9255
29.50,11.9246
29.57,11.9180
29.63,11.9236
29.68,11.9246
29.73,11.9227
29.79,11.9227
29.84,11.9246
29.90,11.9151
29.96,11.9236
30.01,11.9236
30.07,11.9142
30.12,11.9227
30.17,11.9227
30.24,11.9227
30.29,11.9227
30.34,11.9227
30.40,11.9151
30.46,11.9227
30.51,11.9217
30.57,11.9113
30.62,11.9217
30.67,11.9217
30.73,11.9170
30.78,11.9208
30.83,11.9208
30.91,11.9123
30.96,11.9217
31.01,11.9208
31.07,11.9074
31.13,11.9208
31.18,11.9199
31.25,11.9113
31.31,11.9199
31.36,11.9199
31.42,11.9132
31.47,11.9189
