Time (s),Position (mm)
0.00,17.8664
0.06,17.8692
0.11,17.8701
0.16,17.8692
0.25,17.8664
0.30,17.8730
0.35,17.8758
0.41,17.8692
0.47,17.8786
0.52,17.8871
0.57,15.6818
0.62,15.1877
0.68,14.3213
0.73,14.0658
0.78,13.8951
0.84,13.7801
0.89,13.6952
0.94,13.6047
1.00,13.5613
1.06,13.4680
1.11,13.4237
1.16,13.3379
1.21,13.3379
1.27,13.2719
1.32,13.2361
1.39,13.2021
1.45,13.1616
1.50,13.1456
1.58,13.1229
1.63,13.0795
1.68,13.0494
1.74,13.0249
1.79,13.0032
1.84,12.9749
1.92,12.9494
1.97,12.9315
2.02,12.9108
2.10,12.8853
2.15,12.8693
2.20,12.8504
2.27,12.8335
2.32,12.8193
2.38,12.8118
2.43,12.7910
2.48,12.7873
2.53,12.7788
2.58,12.7609
2.64,12.7571
2.70,12.7505
2.75,12.7354
2.83,12.7203
2.88,12.7043
2.93,12.6958
3.01,12.6807
3.07,12.6722
3.12,12.6600
3.18,12.6468
3.23,12.6449
3.28,12.6383
3.33,12.6251
3.38,12.6251
3.43,12.6185
3.48,12.6053
3.55,12.6015
3.61,12.5949
3.66,12.5770
3.72,12.5770
3.77,12.5732
3.82,12.5582
3.88,12.5582
3.93,12.5515
3.98,12.5421
4.04,12.5365
4.10,12.5318
4.15,12.5280
4.22,12.5138
4.27,12.5157
4.32,12.4997
4.37,12.4997
4.42,12.5016
4.47,12.4950
4.53,12.4874
4.58,12.4837
4.63,12.4808
4.70,12.4742
4.75,12.4686
4.80,12.4629
4.86,12.4563
4.91,12.4535
4.96,12.4497
5.02,12.4431
5.07,12.4412
5.12,12.4356
5.19,12.4224
5.24,12.4262
5.29,12.4224
5.35,12.4140
5.40,12.4139
5.45,12.4111
5.52,12.4007
5.57,12.4035
5.62,12.3960
5.67,12.3960
5.73,12.3969
5.78,12.3884
5.84,12.3884
5.89,12.3865
5.94,12.3790
6.00,12.3790
6.05,12.3790
6.10,12.3734
6.16,12.3639
6.21,12.3696
6.26,12.3667
6.32,12.3592
6.37,12.3611
6.42,12.3592
6.50,12.3554
6.55,12.3536
6.60,12.3498
6.66,12.3451
6.71,12.3470
6.76,12.3432
6.82,12.3366
6.88,12.3394
6.93,12.3366
6.99,12.3281
7.04,12.3309
7.09,12.3290
7.15,12.3177
7.20,12.3243
7.25,12.3224
7.31,12.3102
7.36,12.3177
7.41,12.3158
7.47,12.3073
7.52,12.3121
7.57,12.3102
7.63,12.3026
7.69,12.3064
7.74,12.2998
7.80,12.2998
7.85,12.2998
7.90,12.2951
7.96,12.2951
8.01,12.2942
8.06,12.2894
8.12,12.2828
8.17,12.2894
8.22,12.2875
8.29,12.2772
8.34,12.2828
8.39,12.2819
8.45,12.2696
8.50,12.2772
8.55,12.2762
8.61,12.2678
8.66,12.2725
8.71,12.2715
8.77,12.2649
8.82,12.2678
8.87,12.2659
8.94,12.2611
8.99,12.2630
9.04,12.2536
9.10,12.2536
9.15,12.2574
9.20,12.2517
9.26,12.2489
9.31,12.2536
9.36,12.2489
9.42,12.2451
9.47,12.2480
9.52,12.2461
9.58,12.2414
9.63,12.2442
9.69,12.2423
9.75,12.2338
9.80,12.2395
9.85,12.2376
9.91,12.2291
9.96,12.2366
10.01,12.2347
10.08,12.2234
10.13,12.2329
10.18,12.2263
10.23,12.2263
10.29,12.2291
10.34,12.2263
10.40,12.2244
10.46,12.2272
10.51,12.2244
10.56,12.2197
10.62,12.2234
10.67,12.2225
10.73,12.2150
10.78,12.2206
10.83,12.2206
10.89,12.2150
10.94,12.2187
10.99,12.2168
11.05,12.2074
11.10,12.2159
11.15,12.2150
11.21,12.2074
