Time (s),Position (mm)
0.00,22.3591
0.08,22.3656
0.13,22.3628
0.18,22.3704
0.24,22.3666
0.29,22.3685
0.35,22.3807
0.40,18.3906
0.45,16.9914
0.50,15.7110
0.55,15.1519
0.60,14.9294
0.66,14.8427
0.71,14.6664
0.76,14.5089
0.82,14.4250
0.87,14.3203
0.93,14.2440
1.00,14.1817
1.06,14.1223
1.12,14.0441
1.19,14.0017
1.25,13.9413
1.30,13.9111
1.37,13.8857
1.43,13.8338
1.48,13.7970
1.56,13.7791
1.61,13.7556
1.66,13.7348
1.74,13.7216
1.79,13.7028
1.84,13.6849
1.92,13.6745
1.97,13.6547
2.02,13.6368
2.08,13.6245
2.14,13.6066
2.19,13.5962
2.27,13.5717
2.32,13.5547
2.38,13.5434
2.43,13.5293
2.48,13.5246
2.53,13.5132
2.60,13.5076
2.65,13.4982
2.70,13.4925
2.76,13.4821
2.81,13.4821
2.86,13.4737
2.93,13.4633
2.98,13.4576
3.03,13.4520
3.11,13.4416
3.16,13.4360
3.21,13.4246
3.28,13.4152
3.33,13.4124
3.38,13.4077
3.45,13.3963
3.51,13.3954
3.56,13.3869
3.63,13.3756
3.68,13.3765
3.73,13.3718
3.80,13.3605
3.85,13.3596
3.90,13.3511
3.97,13.3417
4.02,13.3407
4.07,13.3351
4.13,13.3285
4.18,13.3285
4.23,13.3237
4.28,13.3181
4.33,13.3162
4.39,13.3134
4.46,13.3030
4.51,13.3040
4.56,13.3002
4.64,13.2936
4.69,13.2945
4.74,13.2889
4.81,13.2823
4.86,13.2841
4.91,13.2813
4.98,13.2709
5.03,13.2757
5.08,13.2672
5.15,13.2625
5.20,13.2615
5.25,13.2577
5.32,13.2493
5.37,13.2493
5.42,13.2408
5.48,13.2370
5.53,13.2389
5.58,13.2332
5.66,13.2229
5.71,13.2276
5.76,14.2087
5.83,13.2172
5.88,13.2181
5.93,13.2172
6.00,13.2106
6.05,13.2125
6.10,13.2087
6.17,13.2031
6.22,13.2068
6.27,13.2021
6.34,13.1927
6.39,-1.1706
6.44,13.1974
6.50,13.1927
6.55,13.1936
6.60,13.1908
6.65,13.1908
6.71,13.1898
6.76,13.1870
6.82,13.1785
6.88,13.1851
6.93,13.1823
7.01,13.1757
7.06,13.1804
7.12,13.1785
7.18,13.1663
7.23,13.1767
7.28,13.1748
7.34,13.1682
7.39,13.1720
7.44,13.1710
7.50,13.1663
7.55,13.1682
7.60,13.1672
7.67,13.1597
7.72,13.1644
7.77,13.1634
7.83,13.1606
7.88,13.1606
7.93,13.1587
7.98,13.1512
8.04,13.1569
8.09,13.1569
8.14,13.1540
8.21,13.1465
8.27,13.1512
8.32,13.1484
8.38,13.1418
8.43,13.1474
8.49,13.1456
8.55,13.1342
8.60,13.1427
8.65,13.1437
8.71,13.1370
8.76,13.1408
8.81,13.1399
8.88,13.1370
8.93,13.1370
8.98,13.1361
9.03,13.1361
9.09,14.1229
9.14,13.1333
9.21,13.1239
9.26,13.1323
9.31,13.1314
9.36,13.1220
9.41,13.1305
9.46,13.1276
9.53,13.1267
9.59,13.1267
9.64,13.1248
9.70,13.1192
9.75,13.1239
9.80,13.1229
9.86,13.1154
9.92,13.1210
9.97,13.1201
10.02,13.1125
10.08,13.1154
10.13,13.1173
10.20,13.1088
10.25,13.1163
10.30,13.1088
10.36,13.1116
10.41,13.1135
10.46,13.1116
10.53,13.1031
10.58,13.1106
10.63,13.1088
10.69,13.0984
10.74,13.1088
10.79,13.1069
10.86,13.0993
10.91,13.1050
10.96,13.1022
11.03,13.0993
11.08,13.1031
11.13,13.1022
11.19,14.0814
11.24,13.1012
11.29,13.0993
11.36,13.0946
11.42,13.0993
11.47,13.0975
11.54,13.0899
11.59,13.0965
11.64,13.0918
11.71,14.0767
11.76,13.0937
11.81,13.0928
11.86,13.0861
11.91,13.0909
11.96,13.0899
12.01,13.0842
12.07,13.0842
12.12,13.0852
12.17,13.0871
12.26,13.0805
12.31,13.0842
12.36,13.0833
12.44,13.0777
12.49,13.0814
12.54,13.0805
12.62,13.0748
12.67,13.0795
12.72,13.0777
12.81,13.0720
12.86,13.0758
12.91,13.0748
12.99,13.0692
13.04,13.0739
13.09,14.0597
13.16,13.0654
13.21,13.0711
13.26,13.0701
13.31,13.0607
13.37,13.0692
13.42,13.0692
13.48,13.0626
13.53,13.0673
13.59,13.0664
13.64,13.0560
13.69,14.0531
13.74,13.0645
13.80,13.0588
13.85,13.0626
13.92,13.0607
13.97,14.0390
14.02,13.0607
14.07,13.0550
14.13,13.0569
14.19,13.0484
14.24,13.0550
14.29,13.0465
14.36,13.0484
14.41,13.0513
14.46,13.0503
14.53,13.0409
14.58,13.0484
14.63,13.0465
14.69,13.0400
14.75,13.0456
14.80,13.0447
14.88,13.0428
14.93,13.0428
14.98,13.0418
15.05,13.0324
15.10,13.0390
15.15,13.0390
15.21,13.0305
15.26,13.0371
15.31,13.0371
15.37,13.0333
15.42,13.0343
15.47,13.0343
15.55,13.0277
15.60,13.0324
15.65,13.0314
15.72,13.0277
