Time (s),Position (mm)
0.00,18.1587
0.05,18.1587
0.10,18.1690
0.15,18.1690
0.22,18.1700
0.27,18.1804
0.33,16.8613
0.39,15.8562
0.44,15.1265
0.49,14.9332
0.54,14.6852
0.60,14.6852
0.66,14.4250
0.71,14.3609
0.78,14.3269
0.83,14.2204
0.88,14.1431
0.94,14.1431
1.00,14.0724
1.05,14.0177
1.10,13.9922
1.16,13.9790
1.21,13.9507
1.29,13.9290
1.34,13.9074
1.39,13.8904
1.45,13.8762
1.50,13.8583
1.55,13.8461
1.61,13.8319
1.66,13.8244
1.71,13.8065
1.78,13.7895
1.83,13.7810
1.88,13.7716
1.94,13.7584
1.99,13.7518
2.04,13.7358
2.11,13.7254
2.16,13.7056
2.21,13.6867
2.27,13.6735
2.32,13.6669
2.37,13.6509
2.46,13.6339
2.51,13.6264
2.56,13.6132
2.62,13.6000
2.68,13.5962
2.73,13.5858
2.81,13.5670
2.86,13.5689
2.91,13.5604
2.96,13.5491
3.01,13.5472
3.06,13.5415
3.14,13.5302
3.19,13.5274
3.24,13.5236
3.31,13.5123
3.36,13.5123
3.41,13.5095
3.47,13.4935
3.52,13.5019
3.57,13.4982
3.63,13.4878
3.68,13.4916
3.74,13.4897
3.79,13.4802
3.85,13.4784
3.90,13.4821
3.95,13.4774
4.02,13.4652
4.07,13.4689
4.12,13.4729
4.17,13.4624
4.23,13.4661
4.28,13.4624
4.33,13.4520
4.38,13.4557
4.44,13.4548
4.50,13.4510
4.55,13.4510
4.61,13.4501
4.66,13.4388
4.72,13.4463
4.78,13.4435
4.86,13.4350
4.92,13.4397
4.97,13.4340
5.02,13.4340
5.07,13.4350
5.12,13.4322
5.20,13.4265
5.25,13.4293
5.30,13.4274
5.36,13.4171
5.41,13.4274
5.46,13.4227
5.51,13.4152
5.57,13.4237
5.62,13.4209
5.67,13.4143
5.72,13.4180
5.78,13.4171
5.83,13.4143
5.89,13.4133
5.94,13.4124
5.99,13.4058
6.05,13.3963
6.11,13.4020
6.16,14.3916
6.21,13.3973
6.27,13.4001
6.32,13.3973
6.37,13.3982
6.44,13.3916
6.50,13.3954
6.55,13.3945
6.62,13.3869
6.67,13.3907
6.72,13.3897
6.81,13.3860
6.86,13.3869
6.91,13.3850
6.97,13.3756
7.02,13.3822
7.07,13.3813
7.13,13.3699
7.18,13.3784
7.23,13.3775
7.30,13.3690
7.35,13.3746
7.40,13.3737
7.46,13.3699
7.51,13.3709
7.56,13.3681
7.63,13.3633
7.68,13.3671
7.73,13.3643
7.79,13.3586
7.84,13.3633
7.89,13.3615
7.96,13.3520
8.01,13.3596
8.06,13.3549
8.13,13.3492
8.18,13.3558
8.23,13.3549
8.30,13.3454
8.35,13.3539
8.40,13.3530
8.46,13.3473
8.51,13.3511
8.57,13.3492
8.63,13.3492
8.68,13.3520
8.73,13.3501
8.78,13.3445
8.84,13.3492
8.89,13.3482
8.95,13.3388
9.01,13.3473
9.06,13.3464
9.12,13.3407
9.17,13.3445
9.22,13.3445
9.30,13.3379
9.35,13.3426
9.40,13.3407
9.46,13.3313
9.51,13.3398
9.56,13.3398
9.62,13.3351
9.69,13.3369
9.74,13.3313
9.79,13.3218
9.84,13.3218
9.89,13.3285
9.94,13.3313
10.01,13.3228
10.06,13.3294
10.12,13.3285
10.17,13.3228
10.22,13.3275
10.27,13.3266
10.32,13.3200
10.39,13.3209
10.44,13.3247
10.49,13.3247
10.57,13.3181
10.62,13.3228
10.67,13.3218
10.74,13.3162
10.80,13.3200
10.85,13.3200
10.93,13.3143
10.98,13.3190
11.03,13.3181
11.08,13.3087
11.14,13.3153
11.19,13.3162
11.28,13.3115
11.33,13.3143
11.38,13.3143
11.46,13.3087
11.51,13.3134
11.56,13.3124
11.62,13.3058
11.68,13.3115
11.73,13.3115
11.78,13.3049
11.83,13.3115
11.88,13.3105
11.93,13.3087
12.01,13.2962
12.06,13.3096
12.11,13.3096
12.17,13.3049
12.22,13.3096
12.28,13.3040
12.35,13.2983
12.41,13.3049
12.46,13.3049
12.54,13.3002
12.60,13.3030
12.65,13.3030
12.72,13.2964
12.78,13.3011
12.83,13.3011
12.89,13.2954
12.94,13.3002
12.99,13.3002
13.04,13.2936
13.10,13.2992
13.15,13.2992
13.20,13.2983
13.27,13.2917
13.32,13.2973
13.37,13.2964
13.45,13.2907
13.50,13.2954
13.55,13.2936
13.61,13.2898
13.66,13.2936
13.72,13.2936
13.77,13.2879
13.82,13.2926
13.88,13.2917
13.93,13.2813
13.98,13.2907
14.05,13.2889
14.10,13.2841
14.15,13.2889
14.20,13.2927
14.25,13.2785
14.31,13.2785
14.36,13.2870
14.41,13.2928
14.47,13.2851
14.52,13.2889
14.57,13.2870
14.65,13.2794
14.70,13.2860
14.75,13.2860
14.81,13.2804
14.86,13.2851
14.91,13.2860
14.99,13.2785
15.04,13.2832
15.09,13.2823
15.14,13.2738
15.19,13.2813
15.24,13.2813
15.31,13.2690
15.36,13.2804
15.41,13.2804
15.47,13.2738
15.52,13.2785
15.57,13.2776
15.63,13.2747
15.68,13.2766
15.73,13.2766
15.79,13.2709
15.84,13.2757
15.89,13.2747
15.96,13.2690
16.01,13.2738
16.06,13.2719
16.12,13.2596
16.17,13.2719
16.22,13.2719
16.29,13.2653
16.34,13.2709
16.39,13.2672
16.46,13.2634
16.51,13.2672
16.56,13.2662
16.62,13.2596
16.67,13.2653
16.72,13.2643
16.79,13.2549
16.84,13.2634
16.89,13.2634
16.95,13.2577
17.01,13.2625
17.06,13.2615
17.12,13.2559
17.17,13.2606
17.22,13.2596
17.28,13.2502
17.33,13.2596
17.38,13.2596
17.45,13.2502
17.50,13.2587
17.55,13.2577
17.62,13.2474
17.67,13.2568
17.72,13.2568
17.78,13.2474
17.83,13.2559
17.88,13.2549
17.94,13.2483
17.99,13.2540
18.04,13.2502
18.10,13.2502
18.16,13.2530
18.21,13.2530
18.27,13.2474
18.32,13.2521
18.37,13.2521
18.43,13.2426
18.48,13.2540
18.53,13.2540
18.59,13.2426
18.64,13.2521
18.69,13.2521
18.76,13.2426
18.81,13.2521
18.86,13.2493
18.92,13.2455
18.97,13.2512
19.02,13.2474
19.08,13.2426
19.13,13.2502
19.18,13.2493
19.25,14.2313
19.30,13.2483
19.35,13.2483
19.41,13.2426
19.46,13.2483
19.52,13.2474
19.57,13.2417
19.62,13.2417
19.67,13.2464
19.72,13.2464
19.79,13.2408
19.84,13.2455
19.89,13.2455
19.97,13.2389
20.02,13.2445
20.07,13.2417
20.14,13.2323
20.19,13.2426
20.24,13.2426
20.31,13.2370
20.36,13.2398
20.41,13.2417
20.48,13.2323
20.53,13.2417
20.58,13.2417
20.65,13.2351
20.70,13.2408
20.75,13.2398
20.81,13.2332
20.86,13.2398
20.91,13.2398
20.98,13.2332
21.03,13.2408
21.08,13.2379
21.15,13.2379
21.21,13.2379
21.26,13.2379
21.32,13.2313
21.37,13.2370
21.42,13.2370
21.48,13.2276
21.53,13.2361
21.58,13.2361
21.64,13.2248
21.69,13.2351
21.74,13.2351
21.81,13.2266
21.86,13.2342
21.91,13.2342
21.97,13.2276
22.02,13.2342
22.07,13.2332
22.15,13.2248
22.20,13.2323
22.25,13.2323
22.32,13.2266
22.37,13.2323
22.42,13.2313
22.47,13.2257
22.52,13.2313
22.57,13.2313
22.63,13.2276
22.69,13.2276
22.74,13.2323
22.79,13.2304
22.86,13.2200
22.91,14.2181
22.96,13.2285
23.02,13.2248
23.07,13.2285
23.12,13.2276
23.19,13.2191
23.24,13.2276
23.29,13.2266
23.35,13.2210
23.41,13.2266
23.46,13.2257
23.52,13.2210
23.57,13.2257
23.62,13.2257
23.68,13.2144
23.73,13.2248
23.78,13.2248
23.84,13.2172
23.90,13.2248
23.95,13.2200
24.01,13.2172
24.06,13.2238
24.11,13.2229
24.18,13.2144
24.23,13.2229
24.28,13.2219
24.35,13.2106
24.40,13.2229
24.45,13.2191
24.52,13.2162
24.57,13.2210
24.62,13.2200
24.68,13.2106
24.73,13.2200
24.78,13.2191
24.86,13.2144
24.91,13.2191
24.96,13.2181
25.02,13.2097
25.07,13.2191
25.12,13.2172
25.19,13.2078
25.24,13.2172
25.29,13.2125
25.36,13.2125
25.41,13.2162
25.46,13.2153
25.53,13.2078
25.58,13.2144
25.63,13.2153
25.69,13.2068
25.75,13.2144
25.80,13.2125
25.86,13.2115
25.92,13.2144
25.97,13.2087
26.02,13.2040
26.08,13.2031
26.13,13.2078
26.19,13.2078
26.24,13.2021
26.30,13.2031
26.35,13.2087
26.40,13.2068
26.47,13.2021
26.53,13.2059
26.58,13.2068
26.63,13.2021
26.69,13.2012
26.75,13.2068
26.80,13.2059
26.85,13.1984
26.91,13.2002
26.96,13.1965
27.01,13.1955
27.07,13.1927
27.12,13.1946
27.17,13.1927
27.22,13.1927
27.28,13.1936
27.34,13.1889
27.39,13.1917
27.45,13.1936
27.50,13.1917
27.55,13.1898
27.60,13.1927
27.65,13.1927
27.71,13.1927
27.76,13.1946
27.82,13.1927
27.87,13.1917
27.93,13.1936
27.98,13.1936
28.03,13.1898
28.08,13.1908
28.13,13.1936
28.19,13.1908
28.24,13.2012
28.30,13.1917
28.37,13.1993
28.42,13.1993
28.47,13.1898
28.53,13.1946
28.59,13.1974
28.65,13.1974
28.70,13.1917
28.75,13.1917
28.81,13.1946
28.86,13.1965
28.93,13.1898
28.98,13.1946
29.04,13.1927
29.09,13.1936
29.14,13.1880
29.20,13.1861
29.25,13.1814
29.30,13.1804
29.35,13.1814
29.40,13.1814
29.45,13.1814
29.50,13.1823
29.55,13.1833
29.60,13.1804
29.66,13.1880
29.72,13.1823
29.77,13.1927
29.82,13.1955
29.90,13.1861
29.95,13.1946
30.00,13.1946
30.06,14.1729
30.11,13.1936
