Time (s),Position (mm)
0.00,19.8982
0.05,19.8982
0.10,19.9048
0.15,19.9105
0.21,19.9048
0.26,19.9124
0.32,19.9124
0.37,17.4402
0.42,17.4402
0.48,16.6501
0.53,16.3974
0.58,16.2805
0.63,16.2466
0.69,16.1051
0.74,15.9788
0.82,15.9109
0.87,15.8147
0.92,15.7601
1.00,15.7110
1.05,15.6629
1.10,15.6092
1.18,15.5724
1.23,15.5555
1.28,15.5036
1.35,15.4828
1.40,15.4687
1.45,15.4433
1.51,15.4244
1.56,15.3999
1.62,15.3782
1.68,15.3584
1.73,15.3273
1.78,15.2886
1.84,15.2886
1.89,15.2575
1.94,15.2292
2.02,15.2208
2.07,15.2019
2.12,15.1896
2.20,15.1811
2.25,15.1698
2.30,15.1613
2.35,15.1500
2.41,15.1416
2.46,15.1302
2.54,15.1180
2.59,15.1114
2.64,15.1057
2.71,15.0925
2.76,15.0888
2.81,15.0784
2.87,15.0661
2.92,15.0633
2.97,15.0529
3.05,15.0407
3.10,15.0369
3.15,15.0303
3.21,15.0171
3.26,15.0162
3.31,15.0077
3.40,14.9898
3.45,14.9916
3.50,14.9879
3.56,14.9775
3.61,15.9661
3.66,14.9718
3.73,14.9662
3.78,14.9605
3.83,14.9539
3.89,14.9464
3.94,14.9464
4.00,14.9398
4.06,14.9266
4.11,14.9285
4.16,14.9228
4.22,14.9143
4.27,14.9115
4.32,14.9077
4.38,14.9049
4.43,14.8964
4.49,14.8917
4.57,14.8776
4.62,14.8785
4.67,14.8757
4.74,14.8662
4.79,14.8672
4.84,14.8625
4.91,14.8512
4.96,14.8549
5.01,14.8521
5.07,14.8474
5.13,14.8455
5.18,14.8408
5.24,14.8314
5.29,14.8370
5.34,14.8332
5.42,14.8257
5.47,14.8266
5.52,14.8219
5.58,14.8219
5.63,14.8181
5.68,14.8134
5.76,14.8031
5.81,14.8059
5.86,14.8002
5.94,14.7946
5.99,14.7946
6.04,14.7937
6.12,14.7814
6.17,14.7851
6.22,14.7823
6.28,14.7748
6.33,14.7786
6.38,14.7748
6.45,14.7738
6.50,14.7682
6.55,14.7654
6.62,14.7531
6.67,14.7606
6.72,14.7587
6.78,14.7484
6.83,14.7550
6.88,14.7531
6.94,14.7474
6.99,14.7503
7.05,14.7474
7.11,14.7465
7.16,14.7465
7.21,14.7437
7.27,14.7371
7.32,14.7418
7.37,14.7399
7.43,14.7295
7.48,14.7380
7.53,14.7352
7.60,14.7324
7.65,14.7323
7.70,14.7323
7.76,14.7201
7.81,14.7286
7.86,14.7276
7.92,14.7173
7.98,14.7258
8.03,14.7239
8.09,14.7154
8.14,14.7192
8.19,14.7192
8.25,14.7107
8.30,14.7173
8.36,14.7154
8.41,14.7041
8.47,14.7135
8.52,14.7116
8.59,14.7041
8.64,14.7088
8.69,14.7050
8.75,14.7050
8.80,14.7059
8.85,14.7031
8.92,14.6965
8.97,14.7012
9.02,14.6994
9.08,14.6909
9.13,14.6965
9.18,14.6946
9.25,14.6843
9.30,14.6928
9.35,14.6890
9.44,14.6833
9.49,14.6881
9.54,14.6852
9.61,14.6795
9.66,14.6824
9.71,14.6814
9.80,14.6739
9.85,14.6777
9.90,14.6758
9.98,14.6692
10.03,14.6739
10.08,14.6692
10.15,14.6607
10.20,14.6673
10.26,14.6673
10.32,14.6598
10.37,14.6626
10.42,14.6607
10.48,14.6607
10.53,14.6588
10.58,14.6588
10.66,14.6513
10.71,14.6541
10.76,14.6522
10.84,14.6466
10.90,14.6503
10.95,14.6484
11.01,14.6428
11.06,14.6466
11.11,14.6466
11.16,14.6400
11.21,14.6447
11.26,14.6428
11.31,14.6390
11.37,14.6343
11.42,14.6400
11.48,14.6381
11.53,14.6315
11.58,14.6315
11.63,14.6353
11.68,14.6305
11.75,14.6277
11.80,14.6324
11.85,14.6315
11.94,14.6249
11.99,14.6277
12.04,14.6277
12.10,14.6183
12.15,14.6258
12.20,14.6249
12.25,14.6183
12.31,14.6230
12.36,14.6230
12.41,14.6126
12.46,14.6126
12.51,14.6202
12.56,14.6192
12.65,14.6107
12.70,14.6154
12.75,14.6107
12.81,14.6079
12.86,14.6117
12.91,14.6107
12.96,14.6032
13.01,14.6032
13.06,14.6079
13.11,14.6013
13.17,14.6003
13.22,14.6051
13.27,14.6041
13.35,14.5909
13.40,14.6013
13.45,14.6013
13.52,14.5956
13.57,14.5985
13.62,14.5947
13.67,14.5947
13.73,14.5966
13.78,14.5986
13.84,14.5862
13.90,14.5928
13.95,14.5919
14.01,14.5825
14.06,14.5900
14.11,14.5881
14.19,14.5834
14.25,14.5872
14.30,14.5862
14.36,14.5806
14.41,14.5853
14.46,14.5843
14.51,14.5777
14.57,14.5825
14.62,14.5815
14.67,14.5749
14.72,14.5739
14.77,14.5796
14.83,14.5787
14.88,14.5692
14.93,14.5758
14.99,14.5768
15.07,14.5692
15.12,14.5749
15.17,14.5739
15.24,14.5664
15.29,14.5730
15.34,14.5721
15.40,14.5608
15.45,14.5692
15.50,14.5692
15.57,14.5608
15.62,14.5683
15.67,14.5626
15.72,14.5626
15.77,14.5674
15.82,14.5674
15.89,14.5704
15.94,14.5655
15.99,14.5645
16.07,14.5589
16.12,14.5636
16.17,14.5636
16.23,14.5579
16.29,14.5617
16.34,14.5617
16.40,14.5513
16.46,14.5617
16.51,14.5608
16.56,14.5523
16.61,14.5598
16.67,14.5589
16.74,14.5485
16.80,14.5579
16.85,14.5570
16.92,14.5513
16.97,14.5570
17.03,14.5561
17.10,14.5485
17.15,14.5551
17.20,14.5542
17.29,14.5485
17.34,14.5532
17.39,14.5523
17.47,14.5466
17.52,14.5513
17.57,14.5513
17.65,14.5457
17.70,14.5504
17.75,14.5494
17.83,14.5438
17.88,14.5485
17.93,14.5466
18.01,14.5419
18.06,14.5466
18.11,14.5457
18.20,14.5400
18.25,14.5457
18.30,14.5428
18.36,14.5391
18.41,14.5447
18.47,14.5447
18.52,14.5372
18.57,14.5381
18.62,14.5428
18.67,14.5410
18.74,14.5362
18.80,14.5419
18.85,14.5391
18.91,14.5353
18.96,14.5400
19.01,14.5400
19.06,14.5344
19.11,14.5344
19.16,14.5381
19.21,14.5325
19.27,14.5325
19.32,14.5381
19.37,14.5372
19.42,14.5297
19.48,14.5362
19.53,14.5362
19.58,14.5306
19.65,14.5297
19.70,14.5382
19.75,14.5344
19.82,14.5278
19.87,14.5334
19.93,14.5325
19.99,14.5249
20.04,14.5325
20.09,14.5287
20.17,14.5221
20.22,14.5297
20.27,14.5297
20.34,14.5211
20.39,14.5297
20.44,14.5249
20.49,14.5249
20.55,14.5278
20.60,14.5259
20.66,14.5174
20.71,14.5268
20.76,14.5259
20.83,14.5174
20.88,14.5249
20.93,14.5249
21.00,14.5146
21.05,14.5249
21.10,14.5240
21.17,14.5183
21.23,14.5230
21.28,14.5230
21.36,14.5174
21.41,14.5221
21.46,14.5221
21.54,14.5146
21.59,14.5221
21.64,14.5211
21.72,14.5155
21.77,14.5202
21.82,14.5202
21.91,14.5146
21.96,14.5193
22.01,14.5193
22.07,14.5127
22.12,14.5174
22.17,14.5193
22.22,14.5127
22.28,14.5127
22.33,14.5183
22.38,14.5174
22.45,14.5108
22.50,14.5174
22.56,14.5164
22.61,14.5108
22.67,14.5155
22.72,14.5146
22.80,14.5061
22.85,14.5155
22.91,14.5146
22.97,14.5089
23.02,14.5136
23.07,14.5127
23.13,14.5127
23.18,14.5127
23.23,14.5127
23.29,14.5033
23.34,14.5127
23.39,14.5117
23.46,14.5004
23.51,14.5117
23.56,14.5108
23.62,14.5033
23.67,14.5108
23.72,14.5098
23.79,14.5089
23.84,14.5089
23.89,14.5089
23.97,14.5004
24.02,14.5089
24.07,14.5089
24.14,14.4966
24.19,14.5070
24.24,14.5070
24.31,14.5004
24.36,14.5070
24.41,14.5070
24.49,14.4976
24.54,14.5061
24.59,14.5042
24.66,14.4995
24.71,14.5051
24.76,14.5051
24.81,14.4985
24.86,14.5042
24.91,14.5042
24.96,14.5014
25.02,14.4986
25.07,14.5033
25.12,14.5042
25.20,14.4947
25.25,14.5023
25.30,14.5014
25.35,14.5014
25.40,14.5042
25.45,14.5014
25.53,14.4919
25.58,14.5014
25.63,14.5014
25.70,14.4900
25.75,14.5014
25.80,14.5004
25.86,14.4947
25.91,14.5004
25.96,14.4976
26.01,14.4976
26.07,14.4995
26.12,14.4995
26.19,14.4910
26.24,14.4985
26.29,14.4985
26.36,14.4863
26.41,14.4985
26.46,14.4976
26.54,14.4882
26.59,14.4966
26.64,14.4976
26.71,14.4910
26.76,14.4966
26.81,14.4957
26.88,14.4872
26.94,14.4947
26.99,14.4957
27.05,14.4891
27.11,14.4947
27.16,14.4938
27.22,14.4844
27.28,14.4938
27.33,14.4929
27.39,14.4920
27.44,14.4929
27.49,14.4919
27.56,14.4853
27.61,14.4910
27.66,14.4910
27.72,14.4797
27.77,14.4910
27.82,14.4910
27.88,14.4825
27.93,14.4900
27.98,14.4891
28.06,14.4863
28.11,14.4891
28.16,14.4882
28.22,14.4797
28.27,14.4882
28.32,14.4872
28.39,14.4769
28.44,14.4882
28.49,14.4872
28.55,14.4834
28.60,14.4863
28.65,14.4863
28.72,14.4806
28.77,14.4863
28.82,14.4853
28.88,14.4759
28.93,14.4863
28.98,14.4853
29.05,14.4769
29.10,14.4844
29.15,14.4844
29.21,14.4806
29.26,14.4834
29.31,14.4834
29.38,14.4825
29.43,14.4825
29.48,14.4816
29.56,14.4759
29.61,14.4816
29.66,14.4816
29.72,14.4721
29.77,14.4816
29.82,14.4816
29.89,14.4712
29.94,14.4806
29.99,14.4806
30.04,14.4750
30.10,14.4759
30.15,14.4806
30.21,14.4693
30.26,14.4806
30.32,14.4769
30.38,14.4702
30.44,14.4787
30.49,14.4778
30.54,14.4693
30.59,14.4778
30.66,14.4778
30.74,14.4740
30.80,14.4778
30.85,14.4769
30.91,14.4702
30.96,14.4769
31.01,14.4759
31.06,14.4665
31.12,14.4769
31.17,14.4759
31.23,14.4674
31.28,14.4759
31.33,14.4759
31.40,14.4655
31.45,14.4750
31.50,14.4740
31.56,14.4702
31.61,14.4740
31.66,14.4750
31.72,14.4731
31.77,14.4731
31.82,14.4740
31.89,14.4655
31.94,14.4731
31.99,14.4731
32.05,14.4608
32.10,14.4693
32.15,14.4721
32.22,14.4683
32.27,14.4712
32.32,14.4702
32.39,14.4702
32.44,14.4712
32.49,14.4712
32.55,14.4599
32.60,14.4702
32.65,14.4702
32.72,14.4589
32.77,14.4702
32.82,14.4702
32.88,14.4627
32.93,14.4693
32.98,14.4693
33.04,14.4665
33.09,14.4693
33.14,14.4674
33.21,14.4627
33.26,14.4683
33.31,14.4683
33.36,14.4599
33.41,14.4674
33.46,14.4674
33.55,14.4618
33.60,14.4674
33.65,14.4665
33.70,14.4636
33.76,14.4674
33.81,14.4674
33.90,14.4542
33.95,14.4655
34.00,14.4665
34.06,14.4599
34.11,14.4646
34.16,14.4655
34.25,14.4561
34.30,14.4646
34.35,14.4655
34.41,14.4589
34.47,14.4618
34.52,14.4646
34.59,14.4542
34.64,14.4636
34.69,14.4618
34.76,14.4618
34.81,14.4618
34.86,14.4627
34.92,14.4561
34.97,14.4627
35.03,14.4618
35.08,14.4514
35.13,14.4627
35.19,14.4618
35.25,14.4514
35.30,14.4608
35.36,14.4608
35.42,14.4523
35.47,14.4608
35.52,14.4608
35.60,14.4514
35.65,14.4608
35.70,14.4627
35.76,14.4599
35.81,14.4599
35.86,14.4599
35.92,14.4495
35.97,14.4599
36.02,14.4589
36.10,14.4495
36.15,14.4589
36.20,14.4580
36.26,14.4580
36.31,14.4580
36.36,14.4580
36.45,14.4523
36.50,14.4580
36.55,14.4580
36.63,14.4523
36.68,14.4570
36.73,14.4570
36.79,14.4505
36.84,14.4609
36.89,14.4580
36.97,14.4570
37.02,14.4570
37.07,14.4561
37.13,14.4467
37.18,14.4570
37.23,14.4561
37.30,14.4467
37.36,14.4552
37.41,14.4570
37.46,14.4533
37.51,14.4552
37.56,14.4552
37.63,14.4486
37.69,14.4552
37.74,14.4552
37.80,14.4438
37.85,14.4552
37.90,14.4542
37.96,14.4448
38.01,14.4542
38.07,14.4533
38.12,14.4486
38.18,14.4533
38.23,14.4533
38.29,14.4533
38.35,14.4533
38.40,14.4533
38.46,14.4457
38.51,14.4523
38.56,14.4523
38.62,14.4467
38.67,14.4514
38.73,14.4514
38.78,14.4448
38.83,14.4505
38.88,14.4505
38.93,14.4495
38.99,14.4438
39.04,14.4495
39.09,14.4486
39.14,14.4429
39.19,14.4486
39.24,14.4476
39.29,14.4476
39.37,14.4419
39.42,14.4457
39.47,14.4467
39.54,14.4410
39.60,14.4467
39.65,14.4457
39.73,14.4410
39.78,14.4448
39.83,14.4438
39.91,14.4382
39.96,14.4438
40.01,14.4429
40.07,14.4354
40.13,14.4419
40.18,14.4429
40.23,14.4354
40.29,14.4419
40.34,14.4410
40.39,14.4419
40.46,14.4354
40.51,14.4410
40.56,14.4401
40.62,14.4344
40.67,14.4401
40.73,14.4401
40.78,14.4335
40.83,14.4401
40.88,14.4401
40.93,14.4382
40.98,14.4335
41.04,14.4391
41.09,14.4391
41.15,14.4297
41.20,14.4391
41.25,14.4382
41.31,14.4259
41.36,14.4382
41.41,14.4382
41.48,14.4316
41.54,14.4372
41.59,14.4344
41.66,14.4306
41.71,14.4372
41.76,14.4363
41.85,14.4306
41.90,14.4363
41.95,14.4325
42.01,14.4325
42.06,14.4325
42.11,14.4344
42.17,14.4241
42.23,14.4344
42.28,14.4344
42.35,14.4241
42.40,14.4344
42.45,14.4325
42.52,14.4278
42.57,14.4335
42.62,14.4335
42.69,14.4250
42.75,14.4354
42.80,14.4306
42.86,14.4278
42.91,14.4344
42.96,14.4316
43.02,14.4241
43.07,14.4325
43.12,14.4316
43.19,14.4289
43.24,14.4306
43.29,14.4269
43.36,14.4269
43.41,14.4297
43.46,14.4288
43.52,14.4288
43.57,14.4297
43.62,14.4288
43.68,14.4231
43.73,14.4288
43.78,14.4288
43.85,14.4184
43.90,14.4278
43.95,14.4278
44.01,14.4174
44.06,14.4259
44.11,14.4269
44.18,14.4241
44.23,14.4259
44.28,14.4269
44.34,14.4222
44.39,14.4269
44.44,14.4259
44.51,14.4137
44.56,14.4259
44.61,14.4259
44.67,14.4165
44.72,14.4259
44.77,14.4250
44.84,14.4203
44.89,14.4241
44.94,14.4222
45.00,14.4222
45.05,14.4241
45.10,14.4231
45.16,14.4146
45.21,14.4231
45.26,14.4222
45.32,14.4127
45.37,14.4222
45.42,14.4222
45.49,14.4108
45.54,14.4212
45.59,14.4212
45.66,14.4165
45.71,14.4212
45.76,14.4193
45.82,14.4155
45.87,14.4212
45.92,14.4193
45.98,14.4146
46.03,14.4203
46.08,14.4193
46.15,14.4061
46.20,14.4193
46.25,14.4193
46.31,14.4137
46.36,14.4184
46.41,14.4193
46.48,14.4127
46.53,14.4193
46.58,14.4184
46.65,14.4090
46.70,14.4193
46.75,14.4184
46.81,14.4061
46.86,14.4174
46.91,14.4174
46.97,14.4108
47.02,14.4174
47.07,14.4174
47.14,14.4146
47.19,14.4155
47.24,14.4155
47.31,14.4099
47.36,14.4155
47.41,14.4155
47.47,14.4033
47.52,14.4146
47.57,14.4146
47.62,14.4080
47.68,14.4137
47.73,14.4137
47.80,14.4118
47.85,14.4127
47.90,14.4127
47.96,14.4071
48.01,14.4127
48.06,14.4108
48.14,14.4080
48.19,14.4127
48.24,14.4099
48.30,14.4099
48.35,14.4099
48.40,14.4108
48.47,14.4005
48.52,14.4108
48.57,14.4108
48.63,14.3977
48.68,14.4099
48.73,14.4099
48.80,14.3986
48.85,14.4099
48.90,14.4090
48.96,14.3995
49.01,14.4090
49.07,14.4052
49.13,14.4033
49.18,14.4090
49.23,14.4080
49.30,14.3986
49.35,14.4080
49.40,14.4042
49.48,14.4024
49.54,14.4080
49.59,14.4080
49.67,14.4042
49.72,14.4071
49.77,14.4042
49.85,14.3986
49.90,14.4042
49.95,14.4033
50.01,14.3986
50.07,14.4024
50.12,14.4033
50.17,14.3977
50.22,14.3977
50.28,14.4033
50.33,14.4024
50.40,14.3967
50.45,14.4024
50.50,14.4005
50.58,14.3967
50.63,14.4024
50.68,14.4005
50.75,14.4005
50.80,14.4024
50.85,14.4014
50.91,14.3929
50.96,14.4014
51.01,14.4014
51.07,14.3901
51.12,14.4014
51.17,14.4005
51.23,14.3929
51.28,14.4005
51.33,14.4005
51.40,14.3901
51.45,14.4005
51.50,14.3995
51.57,14.3920
51.62,14.4005
51.67,14.3967
51.72,14.3948
51.78,14.3995
51.83,14.3986
51.90,14.3920
51.95,14.4014
52.00,14.4014
52.06,14.3920
52.11,14.4014
52.16,14.4014
52.23,14.3977
52.28,14.4005
52.33,14.3995
52.40,14.3958
52.45,14.4005
52.50,14.4005
52.57,14.3891
52.62,14.4005
52.67,14.3948
