Time (s),Position (mm)
0.00,17.8277
0.05,17.8268
0.12,17.8268
0.17,17.8258
0.25,17.8221
0.30,17.8296
0.35,17.8343
0.42,17.8268
0.48,17.8503
0.53,16.2758
0.59,15.3858
0.65,14.7625
0.71,14.3128
0.76,14.1732
0.81,14.1035
0.86,13.9206
0.91,13.8631
0.98,13.7970
1.03,13.7188
1.08,13.6452
1.15,13.6094
1.20,13.5330
1.25,13.5029
1.31,13.4727
1.37,13.4293
1.42,13.3879
1.47,13.3776
1.53,13.3605
1.58,13.3237
1.64,13.3096
1.69,13.2926
1.75,13.2690
1.80,13.2577
1.85,13.2389
1.90,13.2266
1.97,13.2144
2.02,13.2031
2.07,13.1889
2.12,13.1738
2.18,13.1710
2.23,13.1370
2.29,13.1135
2.35,13.0861
2.40,13.0597
2.46,13.0597
2.51,13.0503
2.56,13.0343
2.62,13.0239
2.67,13.0211
2.72,13.0050
2.78,12.9947
2.83,12.9919
2.88,12.9824
2.95,12.9702
3.00,12.9655
3.05,12.9570
3.11,12.9409
3.16,12.9372
3.21,12.9240
3.28,12.9127
3.33,12.9051
3.38,13.8872
3.44,12.8910
3.49,12.8853
3.54,12.8759
3.60,12.8759
3.65,12.8702
3.70,12.8627
3.76,12.8627
3.81,12.8504
3.86,12.8410
3.92,12.8410
3.98,12.8306
4.03,12.8193
4.08,12.8108
4.13,12.8146
4.19,12.8118
4.26,12.8071
4.31,12.8005
4.37,12.7967
4.42,12.7873
4.47,12.7920
4.52,12.7882
4.58,12.7750
4.63,12.7825
4.68,12.7788
4.75,12.7656
4.80,12.7722
4.85,12.7694
4.91,12.7609
4.97,12.7637
5.02,12.7609
5.07,12.7533
5.13,12.7524
5.18,12.7496
5.23,12.7458
5.29,12.7401
5.34,12.7354
5.40,12.7260
5.45,12.7250
5.50,12.7137
5.56,12.7137
5.61,12.7118
5.66,12.7024
5.72,12.7024
5.78,12.6986
5.83,12.6883
5.88,12.6835
5.94,12.6854
5.99,12.6788
6.04,12.6751
6.09,12.6732
6.15,12.6732
6.21,12.6619
6.26,12.6675
6.31,12.6647
6.36,12.6543
6.42,12.6609
6.47,12.6581
6.53,12.6458
6.59,12.6534
6.64,12.6430
6.70,12.6449
6.75,12.6468
6.80,12.6430
6.86,12.6355
6.92,12.6402
6.97,12.6364
7.02,12.6317
7.07,12.6336
7.12,12.6317
7.19,12.6223
7.24,12.6279
7.29,12.6260
7.35,12.6157
7.41,12.6232
7.46,12.6213
7.51,12.6100
7.57,12.6185
7.62,12.6157
7.68,12.6081
7.73,12.6138
7.78,12.6128
7.83,12.6053
7.88,12.6110
7.93,12.6091
8.00,12.6034
8.05,12.6062
8.10,12.6043
8.17,12.5940
8.22,12.6006
8.27,12.6006
8.34,12.5959
8.39,12.5987
8.44,12.5968
8.51,12.5883
8.56,12.5949
8.62,12.5940
8.67,12.5836
8.73,12.5921
8.78,12.5912
8.85,12.5846
8.90,12.5883
8.95,12.5874
9.02,12.5779
9.07,12.5846
9.12,12.5836
9.17,12.5770
9.23,12.5817
9.28,12.5808
9.35,12.5742
9.41,12.5789
9.46,12.5770
9.52,12.5676
9.57,12.5751
9.62,12.5771
9.69,12.5666
9.74,12.5713
9.79,12.5685
9.86,12.5600
9.91,12.5666
9.96,12.5657
10.01,12.5553
10.07,12.5591
10.12,12.5610
10.19,12.5515
10.24,12.5582
10.30,12.5563
10.37,12.5497
10.42,12.5534
10.47,12.5497
10.54,12.5449
10.59,12.5487
10.64,12.5468
10.71,12.5374
10.76,12.5431
10.81,12.5421
10.88,12.5355
10.93,12.5384
10.98,12.5365
11.03,12.5270
11.09,12.5336
11.14,12.5327
11.22,12.5233
11.27,12.5299
11.32,12.5280
11.38,12.5233
11.44,12.5261
11.49,12.5261
11.55,12.5157
11.60,12.5233
11.65,12.5233
11.71,12.5167
11.76,12.5223
11.81,12.5195
11.86,12.5110
11.92,12.5185
11.97,12.5176
12.03,12.5101
12.08,12.5129
12.14,12.5148
12.23,12.5054
12.28,12.5129
12.33,12.5120
12.38,12.5006
12.44,12.5110
12.49,12.5101
12.55,12.4987
12.60,12.5082
12.65,12.5082
12.71,12.5006
12.76,12.5063
12.81,12.5063
12.88,12.5016
12.93,12.5044
12.98,12.5016
13.04,12.5016
13.09,12.5025
13.14,12.5016
13.20,12.5016
13.25,12.5006
13.30,12.4997
13.36,12.4921
13.41,12.4987
13.46,12.4959
13.53,12.4884
13.58,12.4969
13.63,12.4959
13.69,12.4903
13.74,12.4950
13.79,12.4940
13.85,12.4884
13.90,12.4931
13.95,12.4921
14.01,12.4818
14.06,12.4874
14.12,12.4874
14.18,12.4808
14.23,12.4893
14.28,12.4865
14.35,12.4856
14.40,12.4874
14.45,12.4865
14.52,12.4771
14.57,12.4856
14.62,12.4846
14.68,12.4780
14.73,12.4846
14.78,12.4818
14.85,12.4752
14.90,12.4818
14.95,12.4818
15.02,12.4761
15.07,12.4818
15.12,12.4799
15.19,12.4742
15.24,12.4790
15.29,12.4780
15.36,12.4695
15.41,12.4771
15.46,12.4771
15.52,12.4657
15.57,12.4752
15.62,12.4752
15.68,12.4648
15.73,12.4742
15.78,12.4733
15.84,12.4639
15.89,12.4723
15.94,12.4723
16.00,12.4657
16.05,12.4705
16.10,12.4686
16.16,12.4620
16.22,12.4695
16.27,12.4695
16.35,12.4629
16.40,12.4676
16.45,12.4639
16.51,12.4639
16.56,12.4657
16.61,12.4629
16.67,12.4629
16.72,12.4639
16.77,12.4629
16.83,12.4629
16.88,12.4620
16.93,12.4610
17.00,12.4526
17.05,12.4601
17.10,12.4592
17.16,12.4478
17.21,12.4592
17.26,12.4582
17.35,12.4526
17.40,12.4573
17.45,12.4554
17.53,12.4507
17.58,12.4554
17.63,12.4554
17.70,12.4507
17.75,12.4544
17.80,12.4535
17.86,12.4450
17.91,12.4535
17.96,12.4526
18.02,12.4478
18.07,12.4497
18.13,12.4507
18.20,12.4422
18.25,12.4507
18.30,12.4517
18.38,12.4450
18.43,12.4497
18.48,12.4422
18.55,12.4431
18.60,12.4478
18.65,12.4469
18.72,12.4375
18.77,12.4469
18.82,12.4459
18.89,12.4403
18.94,12.4459
18.99,12.4441
19.06,12.4375
19.11,12.4441
19.16,12.4441
19.22,12.4384
19.27,12.4431
19.32,12.4431
19.39,12.4375
19.45,12.4422
19.50,12.4422
19.56,12.4328
19.61,12.4412
19.66,12.4403
19.72,12.4328
19.77,12.4403
19.82,12.4393
19.90,12.4337
19.95,12.4384
20.00,12.4384
20.07,12.4280
20.12,12.4356
20.17,12.4375
20.23,12.4309
20.28,12.4375
20.33,12.4365
20.40,12.4299
20.45,12.4365
20.50,12.4356
20.55,12.4262
20.61,12.4346
20.66,12.4346
20.73,12.4243
20.78,12.4337
20.83,12.4271
20.89,12.4271
20.94,12.4346
20.99,12.4299
21.05,12.4280
21.11,12.4328
21.16,12.4309
21.21,12.4262
21.27,12.4318
21.32,12.4309
21.38,12.4252
21.43,12.4309
21.48,12.4309
21.54,12.4224
21.60,12.4299
21.65,12.4299
21.72,12.4243
21.77,12.4290
21.82,12.4290
21.88,12.4195
21.93,12.4280
21.98,12.4280
22.04,12.4224
22.10,12.4243
22.15,12.4271
22.21,12.4167
22.26,12.4252
22.31,12.4262
22.36,12.4148
22.41,12.4186
22.47,12.4224
22.52,12.4167
22.58,12.4167
22.64,12.4214
22.69,12.4214
22.75,12.4139
22.80,12.4214
22.85,12.4205
22.91,12.4082
22.97,12.4195
23.02,12.4195
23.07,12.4101
23.13,12.4186
23.18,12.4195
23.24,12.4120
23.29,12.4186
23.34,12.4139
23.41,12.4139
23.46,12.4177
23.51,12.4167
23.57,12.4073
23.62,12.4167
23.67,12.4158
23.73,12.4064
23.78,12.4158
23.83,12.4158
23.89,12.4111
23.95,12.4148
24.00,12.4148
24.06,12.4064
24.11,12.4139
24.16,12.4139
24.25,12.4101
24.30,12.4129
24.35,12.4129
24.42,12.4035
24.47,12.4158
24.52,12.4148
24.58,12.4092
24.64,12.4148
24.69,12.4148
24.76,12.4035
24.81,12.4129
24.86,12.4129
24.92,12.4007
24.97,12.4129
25.02,12.4120
25.08,12.4054
25.13,12.4120
25.18,12.4120
25.24,12.4064
25.29,12.4111
25.35,12.4111
25.41,12.4082
25.46,12.4111
25.51,12.4026
25.57,12.4026
25.62,12.4101
25.67,12.4092
25.73,12.4035
25.78,12.4092
25.83,12.4092
25.90,12.4007
25.96,12.4092
26.01,12.4082
26.07,12.3988
26.12,12.4082
26.17,12.4073
26.25,12.3988
26.30,12.4073
26.35,12.4092
26.41,12.3988
26.46,12.4073
26.51,12.4054
26.57,12.3979
26.63,12.4064
26.68,12.4064
26.75,12.3969
26.80,12.4064
26.85,12.4045
26.91,12.3988
26.96,12.4054
27.01,12.4016
27.07,12.4016
27.12,12.4045
27.17,12.4026
27.24,12.3979
27.29,12.4035
27.34,12.4026
27.40,12.3941
27.46,12.4007
27.51,12.4007
27.56,12.3931
27.61,12.4007
27.66,12.3998
27.72,12.3913
27.77,12.3998
27.82,12.3988
27.89,12.3875
27.94,12.3998
27.99,12.3988
28.05,12.3922
28.10,12.3960
28.15,12.3988
28.21,12.3950
28.26,12.3979
28.31,12.3998
28.37,12.3913
28.43,12.3979
28.48,12.3969
28.54,12.3894
28.60,12.3969
28.65,12.3969
28.70,12.3875
28.75,12.3960
28.80,12.3960
28.86,12.3856
28.91,12.3950
28.96,12.3950
29.02,12.3847
29.08,12.3950
29.13,12.3950
29.19,12.3865
29.24,12.3950
29.29,12.3950
29.34,12.3837
29.39,12.3941
29.44,12.3969
29.51,12.3856
29.56,12.3960
29.61,12.3960
29.67,12.3884
29.72,12.3960
29.78,12.3913
29.84,12.3903
29.89,12.3960
29.94,12.3931
30.00,12.3913
30.05,12.3931
30.10,12.3941
30.17,12.3856
30.22,12.3941
30.27,12.3941
30.34,12.3903
30.39,12.3941
30.44,12.3941
30.51,12.3847
30.57,12.3941
30.62,12.3943
30.67,12.3865
30.73,12.3931
30.78,12.3931
30.85,12.3856
30.90,12.3931
30.95,12.3922
31.01,12.3828
31.06,12.3922
31.11,12.3922
31.17,12.3875
31.22,12.3913
31.27,12.3922
31.34,12.3837
31.40,12.3913
31.45,12.3913
31.52,12.3828
31.57,12.3913
31.62,12.3913
31.68,12.3809
31.73,12.3913
31.78,12.3903
31.84,12.3828
31.89,12.3913
31.94,12.3903
32.00,12.3856
32.05,12.3903
32.10,12.3875
32.17,12.3903
32.22,12.3894
32.27,12.3894
32.34,12.3800
32.39,12.3884
32.44,12.3894
32.51,12.3837
32.56,12.3884
32.61,12.3875
32.67,12.3818
32.72,12.3884
32.77,12.3884
32.84,12.3781
32.90,12.3884
32.95,12.3884
33.01,12.3856
33.06,12.3875
33.11,12.3875
33.18,12.3790
33.23,12.3875
