Time (s),Position (mm)
0.00,16.2447
0.06,16.2447
0.11,16.2541
0.16,16.2532
0.23,16.2456
0.28,16.2569
0.34,16.2588
0.40,16.2503
0.46,16.2588
0.51,15.1708
0.56,13.8206
0.61,13.0701
0.66,12.5638
0.71,12.4280
0.78,12.2527
0.83,12.0679
0.88,12.0160
0.97,11.9151
1.02,11.8048
1.07,11.7464
1.13,11.6756
1.18,11.6492
1.24,11.6144
1.32,12.5512
1.37,11.5182
1.42,11.4861
1.47,11.4588
1.53,11.4475
1.58,11.4154
1.65,11.3937
1.70,11.3711
1.75,11.3664
1.81,11.3617
1.86,11.3164
1.91,11.3098
1.98,11.3042
2.03,11.2928
2.08,11.2542
2.15,11.2287
2.20,11.2306
2.25,11.2052
2.32,11.2005
2.37,11.1693
2.42,11.1637
2.48,11.1439
2.54,11.1354
2.59,11.1260
2.65,11.1080
2.70,11.1052
2.75,11.0986
2.82,11.0911
2.87,11.0798
2.92,11.0703
2.99,11.0581
3.04,11.0571
3.09,11.0524
3.16,11.0392
3.21,11.0411
3.26,11.0298
3.32,11.0232
3.37,11.0223
3.42,11.0213
3.49,11.0128
3.54,11.0147
3.59,11.0128
3.67,10.9959
3.72,11.0034
3.77,10.9987
3.83,10.9902
3.88,10.9921
3.93,10.9893
3.99,10.9808
4.04,10.9826
4.09,10.9808
4.16,10.9723
4.21,10.9751
4.26,10.9695
4.34,10.9572
4.39,10.9638
4.44,10.9562
4.51,10.9515
4.56,10.9487
4.61,10.9459
4.67,10.9355
4.72,10.9336
4.77,10.9317
4.83,10.9176
4.88,10.9242
4.93,10.9185
5.02,10.9138
5.07,10.9138
5.12,10.9101
5.20,10.9016
5.25,10.9034
5.30,10.8987
5.38,10.8903
5.43,10.8931
5.48,10.8903
5.55,10.8827
5.60,10.8865
5.65,10.8874
5.71,10.8827
5.76,10.8837
5.82,10.8780
5.90,10.8676
5.95,10.8733
6.00,10.8695
6.06,10.8610
6.11,10.8676
6.16,10.8667
6.21,10.8582
6.27,10.8620
6.32,10.8610
6.37,10.8582
6.42,10.8525
6.47,10.8563
6.53,10.8544
6.58,10.8459
6.63,10.8506
6.68,10.8488
6.73,10.8271
6.79,10.8045
6.84,10.8054
6.89,10.8063
6.95,10.7912
7.00,10.8007
7.05,10.7997
7.11,10.7931
7.17,10.7978
7.22,10.7969
7.31,10.7903
7.36,10.7960
7.41,10.7950
7.47,10.7875
7.53,10.7865
7.58,10.7931
7.66,10.7847
7.71,10.7903
7.76,10.7903
7.82,10.7837
7.88,10.7894
7.93,10.7856
7.98,10.7790
8.03,10.7837
8.08,10.7828
8.13,10.7762
8.20,10.7752
8.25,10.7799
8.30,10.7799
8.36,10.7714
8.42,10.7771
8.47,10.7752
8.52,10.7696
8.58,10.7724
8.63,10.7714
8.68,10.7696
8.74,10.7592
8.79,10.7677
8.84,10.7648
8.91,10.7583
8.96,10.7630
9.01,10.7630
9.07,10.7545
9.12,10.7611
9.17,10.7601
9.22,10.7517
9.28,10.7573
9.33,10.7564
9.38,10.7554
9.45,10.7488
9.50,10.7517
9.55,10.7507
9.62,10.7450
9.67,10.7498
9.72,10.7470
9.80,10.7403
9.85,10.7460
9.90,10.7441
9.96,10.7347
10.01,10.7432
10.06,10.7413
10.13,10.7356
10.18,10.7422
10.23,10.7375
10.30,10.7375
10.35,10.7394
10.40,10.7384
10.47,10.7309
10.52,10.7347
10.57,10.7356
10.63,10.7319
10.68,10.7337
10.73,10.7319
10.78,10.7234
10.84,10.7309
10.90,10.7300
10.95,10.7224
11.00,10.7281
11.05,10.7262
11.10,10.7196
11.16,10.7186
11.21,10.7243
11.26,10.7234
11.31,10.7149
11.36,10.7196
11.41,10.7196
11.46,10.7186
11.54,10.7120
11.59,10.7149
11.64,10.7139
11.70,10.7017
11.75,10.7120
11.80,10.7102
11.87,10.7017
11.92,10.7064
11.97,10.7026
12.03,10.7026
12.08,10.7026
12.13,10.7017
12.20,10.6932
12.25,10.6998
12.30,10.6989
12.36,10.6856
12.41,10.6979
12.46,10.6960
12.53,10.6894
12.58,10.6942
12.63,10.6904
12.69,10.6904
12.74,10.6904
12.79,10.6894
12.86,10.6838
12.91,10.6875
12.96,10.6856
13.02,10.6772
13.07,10.6838
13.12,10.6828
13.20,10.6753
13.25,10.6809
13.30,10.6791
13.37,10.6734
13.42,10.6781
13.47,10.6753
13.55,10.6668
13.60,10.6743
13.65,10.6734
13.72,10.6668
13.77,10.6706
13.82,10.6696
13.87,10.6611
13.93,10.6696
13.98,10.6678
14.07,10.6649
14.12,10.6668
14.17,10.6649
14.22,10.6602
14.27,10.6640
14.32,10.6640
14.41,10.6574
14.46,10.6621
14.51,10.6611
14.57,10.6527
14.62,10.6611
14.67,10.6602
14.74,10.6498
14.79,10.6583
14.84,10.6536
14.91,10.6555
14.96,10.6574
15.01,10.6564
15.08,10.6527
15.13,10.6555
15.18,10.6517
15.25,10.6498
15.30,10.6545
15.35,10.6536
15.42,10.6470
15.47,10.6527
15.52,10.6489
15.59,10.6461
15.65,10.6508
15.70,10.6508
15.76,10.6414
15.82,10.6498
15.87,10.6451
15.93,10.6423
15.98,10.6470
16.03,10.6470
16.10,10.6366
16.15,10.6461
16.20,10.6461
16.27,10.6385
16.32,10.6461
16.37,10.6442
16.45,10.6347
16.50,10.6432
16.55,10.6385
16.62,10.6376
16.67,10.6423
16.72,10.6423
16.79,10.6385
16.84,10.6414
16.89,10.6366
16.96,10.6347
17.01,10.6395
17.06,10.6395
17.13,10.6291
17.18,10.6385
17.23,10.6376
17.31,10.6310
17.36,10.6366
17.41,10.6376
17.47,10.6281
17.52,10.6376
17.57,10.6357
17.65,10.6291
17.70,10.6347
17.75,10.6357
17.81,10.6291
17.86,10.6347
17.91,10.6347
17.97,10.6244
18.02,10.6338
18.07,10.6319
18.13,10.6310
18.18,10.6328
18.23,10.6328
18.28,10.6234
18.34,10.6234
18.39,10.6319
18.44,10.6300
18.51,10.6215
18.56,10.6310
18.61,10.6300
18.69,10.6206
18.74,10.6300
18.79,10.6263
18.86,10.6234
18.91,10.6291
18.96,10.6281
19.02,10.6187
19.08,10.6281
19.13,10.6244
19.20,10.6216
19.25,10.6263
19.30,10.6263
19.36,10.6197
19.42,10.6263
19.47,10.6253
19.53,10.6187
19.58,10.6253
19.63,10.6244
19.71,10.6187
19.76,10.6244
19.81,10.6225
19.87,10.6159
19.92,10.6234
19.97,10.6225
20.06,10.6140
20.11,10.6234
20.16,10.6215
20.22,10.6121
20.27,10.6215
20.32,10.6178
20.40,10.6140
20.45,10.6206
20.50,10.6197
20.56,10.6102
20.61,10.6197
20.66,10.6197
20.74,10.6150
20.79,10.6187
20.84,10.6187
20.91,10.6093
20.96,10.6187
21.01,10.6178
21.08,10.6131
21.13,10.6168
21.18,10.6207
21.24,10.6168
21.29,10.6150
21.35,10.6159
21.41,10.6074
21.46,10.6159
21.51,10.6150
21.57,10.6102
21.62,10.6159
21.67,10.6150
21.75,10.6055
21.80,10.6150
21.85,10.6140
21.91,10.6027
21.97,10.6131
22.02,10.6131
22.07,10.6131
22.12,10.6131
22.18,10.6121
22.25,10.6008
22.30,10.6121
22.36,10.6121
22.43,10.6083
22.48,10.6102
22.53,10.6102
22.60,10.6017
22.65,10.6102
22.70,10.6093
22.77,10.6036
22.82,10.6093
22.87,10.6083
22.92,10.6036
22.98,10.6083
23.03,10.6074
23.10,10.5970
23.15,10.6074
23.20,10.6074
23.26,10.5989
23.31,10.6064
23.36,10.6055
23.43,10.6027
23.48,10.6055
23.53,10.6046
23.59,10.5980
23.64,10.6036
23.69,10.6036
23.76,10.5942
23.81,10.6036
23.86,10.6065
23.91,10.5942
23.97,10.6017
24.02,10.6027
24.11,10.5923
24.16,10.6008
24.21,10.5989
24.27,10.5989
24.32,10.6008
24.37,10.5999
24.46,10.5942
24.51,10.5999
24.56,10.5989
24.62,10.5942
24.67,10.5989
24.73,10.5989
24.81,10.5895
24.86,10.5989
24.91,10.5989
24.98,10.5951
25.04,10.5970
25.09,10.5970
25.16,10.5914
25.21,10.5961
25.26,10.5951
25.33,10.5914
25.38,10.5961
25.43,10.5961
25.50,10.5904
25.55,10.5951
25.60,10.5942
25.67,10.5886
25.72,10.5951
25.77,10.5942
25.83,10.5857
25.88,10.5942
25.93,10.5942
26.00,10.5819
