Time (s),Position (mm)
0.00,8.8942
0.05,8.8942
0.11,8.8908
0.16,8.8922
0.23,8.9016
0.28,8.8881
0.33,8.8875
0.38,8.8908
0.43,10.1605
0.48,10.6956
0.53,11.1602
0.59,11.3999
0.65,11.5805
0.70,11.6705
0.75,11.7893
0.80,11.7893
0.85,11.8860
0.90,11.9531
0.96,11.9773
1.02,12.0270
1.07,12.0680
1.13,12.1129
1.19,12.1398
1.24,12.1606
1.32,12.1901
1.37,12.2190
1.42,12.2392
1.47,12.2512
1.53,12.2794
1.58,12.3029
1.65,12.3157
1.70,12.3352
1.76,12.3479
1.82,12.3587
1.87,12.3721
1.92,12.3815
1.97,12.3869
2.02,12.3983
2.07,12.4084
2.16,12.4278
2.22,12.4372
2.27,12.4486
2.32,12.4486
2.38,12.4594
2.43,12.4715
2.50,12.4815
2.55,12.4876
2.60,12.4929
2.66,12.5010
2.71,12.5077
2.76,12.5124
2.83,12.5151
2.88,12.5258
2.93,12.5319
3.00,12.5359
3.05,12.5379
3.10,12.5446
3.16,12.5534
3.22,12.5520
3.27,12.5588
3.32,12.5661
3.38,12.5655
3.43,12.5715
3.50,12.5782
3.55,12.5829
3.60,12.5876
3.66,12.5950
3.71,12.5970
3.76,12.6010
3.83,12.6118
3.88,12.6105
3.93,12.6138
4.00,12.6192
4.05,12.6212
4.10,12.6286
4.17,12.6373
4.22,12.6346
4.27,12.6385
4.33,12.6440
4.39,12.6447
4.44,12.6501
4.51,12.6601
4.56,12.6574
4.61,12.6595
4.67,12.6655
4.72,12.6648
4.77,12.6675
4.84,12.6722
4.89,12.6736
4.94,12.6756
5.01,12.6843
5.06,12.6796
5.11,12.6830
5.17,12.6890
5.22,12.6883
5.27,12.6890
5.34,12.6984
5.39,12.6937
5.44,12.6950
5.53,12.7024
5.58,12.7004
5.63,12.7024
5.70,12.7078
5.75,12.7058
5.80,12.7125
5.86,12.7125
5.92,12.7112
5.97,12.7138
6.02,12.7185
6.08,12.7179
6.13,12.7199
6.20,12.7273
6.25,12.7212
6.30,12.7239
6.36,12.7280
6.42,12.7253
6.47,12.7273
6.54,12.7347
6.59,12.7306
6.64,12.7313
6.70,12.7400
6.75,12.7340
6.80,12.7339
6.87,12.7394
6.92,12.7373
6.97,12.7407
7.02,12.7427
7.08,12.7414
7.13,12.7434
7.20,12.7501
7.26,12.7461
7.31,12.7508
7.37,12.7508
7.42,12.7487
7.47,12.7508
7.55,12.7582
7.60,12.7528
7.65,12.7575
7.71,12.7588
7.76,12.7561
7.81,12.7575
7.87,12.7656
7.92,12.7588
7.97,12.7602
8.04,12.7642
8.10,12.7649
8.15,12.7656
8.20,12.7689
8.25,12.7649
8.31,12.7662
8.36,12.7729
8.41,12.7729
8.46,12.7689
8.51,12.7736
8.57,12.7736
8.63,12.7709
8.68,12.7729
8.74,12.7810
8.79,12.7749
8.84,12.7756
8.91,12.7803
8.96,12.7776
9.01,12.7776
9.08,12.7837
9.13,12.7796
9.18,12.7830
9.24,12.7857
9.29,12.7830
9.34,12.7850
9.41,12.7863
9.46,12.7850
9.51,12.7863
9.56,12.7911
9.62,12.7877
9.67,12.7884
9.72,12.7937
9.77,12.7911
9.82,12.7911
9.87,12.7924
9.95,12.7964
10.00,12.7944
10.05,12.7964
10.12,12.8018
10.17,12.7984
10.22,12.7978
10.28,12.8025
10.33,12.7991
10.38,12.7998
10.43,12.8005
10.48,12.8045
10.54,12.8018
10.59,12.8025
10.64,12.8072
10.70,12.8045
10.75,12.8045
10.80,12.8092
10.87,12.8099
10.92,12.8065
10.97,12.8072
11.03,12.8146
11.08,12.8085
11.13,12.8092
11.21,12.8139
11.26,12.8105
11.31,12.8112
11.37,12.8199
11.42,12.8125
11.47,12.8132
11.54,12.8193
11.59,12.8139
11.64,12.8152
11.70,12.8226
11.75,12.8159
11.80,12.8172
11.86,12.8226
11.92,12.8186
11.97,12.8193
12.03,12.8280
12.08,12.8219
12.13,12.8219
12.20,12.8246
12.26,12.8219
12.31,12.8246
12.37,12.8293
12.42,12.8239
12.47,12.8246
12.55,12.8280
12.60,12.8260
12.65,12.8266
12.71,12.8334
12.77,12.8266
12.82,12.8273
12.89,12.8307
12.94,12.8280
12.99,12.8293
13.06,12.8367
13.11,12.8307
13.16,12.8313
13.22,12.8354
13.28,12.8320
13.33,12.8327
13.39,12.8360
13.44,12.8340
13.49,12.8347
13.58,12.8374
13.63,12.8367
13.68,12.8367
13.74,12.8441
13.80,12.8381
13.85,12.8381
13.91,12.8441
13.96,12.8401
14.01,12.8407
14.07,12.8407
14.13,12.8407
14.18,12.8441
14.25,12.8515
14.30,12.8427
14.35,12.8441
14.41,12.8501
14.46,12.8454
14.51,12.8454
14.57,12.8495
14.63,12.8475
14.68,12.8475
14.73,12.8528
14.79,12.8481
14.84,12.8495
14.91,12.8575
14.96,12.8501
15.01,12.8501
15.06,12.8555
15.12,12.8515
15.17,12.8515
15.24,12.8535
15.29,12.8535
15.34,12.8535
15.40,12.8589
15.45,12.8548
15.50,12.8555
15.57,12.8642
15.62,12.8562
15.67,12.8569
15.74,12.8595
15.79,12.8575
15.84,12.8589
15.91,12.8656
15.96,12.8595
16.01,12.8602
16.08,12.8642
16.13,12.8636
16.18,12.8629
16.25,12.8696
16.30,12.8609
16.35,12.8636
16.42,12.8676
16.47,12.8663
16.52,12.8628
16.58,12.8716
16.64,12.8656
16.69,12.8663
16.74,12.8736
16.80,12.8676
16.85,12.8663
16.90,12.8757
16.95,12.8689
17.00,12.8696
17.05,12.8723
17.11,12.8736
17.16,12.8703
17.21,12.8716
17.29,12.8757
17.35,12.8716
17.40,12.8716
17.46,12.8770
17.51,12.8736
17.56,12.8736
17.65,12.8810
17.70,12.8743
17.75,12.8750
17.82,12.8797
17.87,12.8763
17.92,12.8770
17.99,12.8837
18.04,12.8777
18.09,12.8810
18.16,12.8810
18.21,12.8810
18.26,12.8817
18.33,12.8830
18.39,12.8797
18.44,12.8803
