Time (s),Position (mm)
0.00,8.7807
0.05,8.7807
0.11,8.7733
0.16,8.7713
0.23,8.7727
0.29,8.7566
0.34,9.9718
0.40,10.9118
0.46,11.2267
0.51,11.4603
0.57,11.6268
0.62,11.7034
0.67,11.7571
0.73,11.8195
0.79,11.8531
0.84,11.9135
0.89,11.9726
0.95,11.2894
1.00,12.0290
1.05,12.0673
1.12,12.0988
1.17,12.1156
1.22,12.1418
1.28,12.1646
1.34,12.1828
1.39,12.2062
1.46,12.2197
1.51,12.2438
1.56,12.2633
1.62,12.2721
1.67,12.2794
1.72,12.3016
1.79,12.3137
1.85,12.3258
1.90,12.3352
1.96,12.3479
2.01,12.3553
2.06,12.3640
2.12,12.3761
2.17,12.3781
2.22,12.3882
2.30,12.4037
2.36,12.4070
2.41,12.4191
2.47,12.4191
2.52,12.4278
2.57,12.4359
2.63,12.4446
2.69,12.4506
2.74,12.4567
2.80,12.4668
2.85,12.4688
2.90,12.4735
2.96,12.4809
3.01,12.4802
3.06,12.4856
3.13,12.4909
3.18,12.4943
3.23,12.4970
3.29,12.5037
3.34,12.5017
3.39,12.5057
3.46,12.5151
3.51,12.5117
3.56,12.5144
3.62,12.5198
3.67,12.5198
3.72,12.5225
3.79,12.5285
3.85,12.5292
3.90,12.5326
3.96,12.5406
4.01,12.5366
4.06,12.5413
4.12,12.5480
4.17,12.5500
4.22,12.5520
4.27,12.5547
4.34,12.5614
4.40,12.5621
4.45,12.5655
4.51,12.5715
4.57,12.5722
4.62,12.5749
4.67,12.5816
4.72,12.5816
4.78,12.5829
4.83,12.5890
4.91,12.5903
4.96,12.5917
5.01,12.5950
5.10,12.5997
5.15,12.6004
5.20,12.6024
5.26,12.6084
5.31,12.6064
5.37,12.6084
5.42,12.6145
5.48,12.6145
5.53,12.6145
5.58,12.6192
5.66,12.6198
5.72,12.6212
5.77,12.6225
5.83,12.6272
5.89,12.6259
5.94,12.6279
6.02,12.6373
6.07,12.6313
6.12,12.6340
6.19,12.6360
6.24,12.6386
6.29,12.6413
6.36,12.6507
6.41,12.6467
6.46,12.6480
6.52,12.6534
6.57,12.6521
6.62,12.6548
6.69,12.6548
6.74,12.6588
6.79,12.6615
6.86,12.6695
6.91,12.6655
6.97,12.6675
7.02,12.6749
7.07,12.6709
7.12,12.6729
7.18,12.6762
7.23,12.6762
7.28,12.6796
7.35,12.6850
7.41,12.6836
7.46,12.6863
7.51,12.6957
7.57,12.6897
7.62,12.6924
7.69,12.6991
7.74,12.6977
7.79,12.7024
7.85,12.7024
7.90,12.7058
7.95,12.7085
8.02,12.7152
8.07,12.7132
8.12,12.7152
8.18,12.7199
8.23,12.7206
8.28,12.7232
8.34,12.7253
8.39,12.7280
8.45,12.7313
8.51,12.7407
8.56,12.7347
8.61,12.7367
8.69,12.7461
8.74,12.7407
8.79,12.7481
8.86,12.7481
8.91,12.7454
8.96,12.7487
9.02,12.7514
9.07,12.7501
9.13,12.7514
9.18,12.7582
9.23,12.7541
9.28,12.7555
9.35,12.7629
9.41,12.7575
9.46,12.7615
9.51,12.7615
9.56,12.7595
9.62,12.7622
9.68,12.7689
9.74,12.7629
9.79,12.7635
9.85,12.7696
9.90,12.7656
9.95,12.7662
10.01,12.7729
10.07,12.7689
10.12,12.7682
10.18,12.7763
10.23,12.7696
10.28,12.7702
10.35,12.7743
10.41,12.7716
10.46,12.7723
10.52,12.7736
10.57,12.7743
10.62,12.7763
10.68,12.7790
10.74,12.7756
10.79,12.7763
10.85,12.7830
10.90,12.7770
10.95,12.7783
11.02,12.7857
11.07,12.7796
11.12,12.7830
11.18,12.7830
11.23,12.7803
11.28,12.7817
11.35,12.7850
11.40,12.7823
11.45,12.7830
11.51,12.7890
11.56,12.7830
11.61,12.7844
11.68,12.7924
11.73,12.7850
11.78,12.7857
11.83,12.7897
11.89,12.7870
11.94,12.7870
12.01,12.7917
12.06,12.7884
12.11,12.7890
12.17,12.7964
12.22,12.7904
12.27,12.7911
12.35,12.7958
12.40,12.7917
12.45,12.7931
12.51,12.7971
12.56,12.7944
12.61,12.7944
12.67,12.8025
12.72,12.7958
12.77,12.7964
12.84,12.7998
12.89,12.7971
12.94,12.7984
13.01,12.8018
13.06,12.7991
13.11,12.7998
13.17,12.8072
13.22,12.8011
13.27,12.8018
13.34,12.8078
13.40,12.8025
13.45,12.8051
13.51,12.8051
13.56,12.8038
13.62,12.8058
13.67,12.8112
13.72,12.8065
13.77,12.8072
13.84,12.8146
13.89,12.8085
13.94,12.8112
14.01,12.8112
14.06,12.8099
14.11,12.8105
14.18,12.8186
14.23,12.8119
14.28,12.8125
14.34,12.8172
14.39,12.8132
14.44,12.8139
14.51,12.8179
14.56,12.8159
14.61,12.8159
14.68,12.8226
14.73,12.8166
14.78,12.8172
14.85,12.8206
14.90,12.8179
14.95,12.8186
15.02,12.8226
15.07,12.8193
15.12,12.8199
15.18,12.8273
15.23,12.8206
15.29,12.8206
15.35,12.8266
15.40,12.8219
15.45,12.8226
15.51,12.8260
15.56,12.8226
15.61,12.8233
15.68,12.8307
15.74,12.8239
15.79,12.8239
15.86,12.8266
15.91,12.8253
15.96,12.8260
16.02,12.8307
16.07,12.8300
16.12,12.8287
16.17,12.8293
16.23,12.8374
16.28,12.8293
16.33,12.8300
16.39,12.8374
16.45,12.8307
16.50,12.8313
16.56,12.8340
16.61,12.8320
16.67,12.8320
16.72,12.8354
16.77,12.8354
16.82,12.8327
16.87,12.8334
16.94,12.8367
16.99,12.8340
17.04,12.8340
17.12,12.8414
17.18,12.8354
17.23,12.8354
17.28,12.8381
17.33,12.8367
17.38,12.8367
17.45,12.8414
17.51,12.8381
17.56,12.8381
17.61,12.8468
17.67,12.8387
17.72,12.8394
17.79,12.8448
17.84,12.8401
17.89,12.8421
17.95,12.8421
18.00,12.8407
18.05,12.8407
18.12,12.8495
18.17,12.8401
18.23,12.8407
18.28,12.8434
18.34,12.8421
18.39,12.8421
18.44,12.8454
18.50,12.8454
18.55,12.8427
18.60,12.8434
18.68,12.8427
18.74,12.8434
18.79,12.8448
18.87,12.8475
18.92,12.8448
18.98,12.8454
19.04,12.8528
19.09,12.8468
19.14,12.8461
19.20,12.8508
19.26,12.8475
19.31,12.8475
19.36,12.8481
19.42,12.8481
19.47,12.8488
19.54,12.8542
19.59,12.8501
19.64,12.8501
19.70,12.8555
19.76,12.8501
19.81,12.8528
19.87,12.8528
19.92,12.8515
19.97,12.8528
20.03,12.8528
20.09,12.8542
20.14,12.8528
20.20,12.8589
20.26,12.8535
20.31,12.8535
20.36,12.8548
20.42,12.8542
20.47,12.8548
20.54,12.8609
20.59,12.8548
20.64,12.8555
20.70,12.8615
20.76,12.8562
20.81,12.8589
20.86,12.8589
20.92,12.8569
20.97,12.8575
21.03,12.8622
21.08,12.8582
21.13,12.8582
21.20,12.8669
21.26,12.8595
21.31,12.8589
21.36,12.8609
21.42,12.8602
21.47,12.8602
21.52,12.8622
21.58,12.8609
21.63,12.8609
21.70,12.8669
21.75,12.8615
21.81,12.8615
21.86,12.8689
21.92,12.8629
21.97,12.8629
22.03,12.8663
22.08,12.8649
22.13,12.8636
22.20,12.8696
22.25,12.8642
22.30,12.8642
22.36,12.8696
22.42,12.8642
