Time (s),Position (mm)
0.00,8.7290
0.05,8.7223
0.11,8.7230
0.16,8.7250
0.23,8.7263
0.28,8.7230
0.33,8.7190
0.38,8.7210
0.44,8.7196
0.49,8.7049
0.54,9.9208
0.60,10.3740
0.66,11.2482
0.71,11.5087
0.78,11.6147
0.83,11.7128
0.88,11.8215
0.96,11.8705
1.02,11.9431
1.07,11.9921
1.12,12.0384
1.17,12.0646
1.24,12.0908
1.31,12.1411
1.36,12.1640
1.41,12.1821
1.50,12.2096
1.55,12.2425
1.60,12.2566
1.67,12.2721
1.72,12.2942
1.77,12.3036
1.84,12.3190
1.89,12.3358
1.94,12.3520
2.00,12.3520
2.05,12.3694
2.10,12.3896
2.16,12.3983
2.22,12.4070
2.27,12.4184
2.32,12.4312
2.37,12.4332
2.42,12.4337
2.47,12.4446
2.53,12.4493
2.58,12.4553
2.63,12.4587
2.70,12.4681
2.75,12.4701
2.80,12.4748
2.86,12.4789
2.92,12.4842
2.97,12.4923
3.04,12.5003
3.09,12.5037
3.14,12.5111
3.20,12.5178
3.25,12.5185
3.30,12.5225
3.37,12.5332
3.42,12.5339
3.47,12.5393
3.52,12.5487
3.57,12.5467
3.62,12.5500
3.67,12.5621
3.73,12.5621
3.78,12.5634
3.83,12.5695
3.90,12.5762
3.95,12.5789
4.00,12.5822
4.07,12.5903
4.12,12.5923
4.17,12.5997
4.24,12.6044
4.29,12.6057
4.34,12.6091
4.41,12.6158
4.46,12.6152
4.51,12.6205
4.57,12.6205
4.62,12.6239
4.67,12.6279
4.73,12.6373
4.78,12.6333
4.83,12.6353
4.89,12.6400
4.95,12.6420
5.00,12.6447
5.08,12.6548
5.14,12.6528
5.19,12.6554
5.25,12.6642
5.30,12.6628
5.35,12.6648
5.42,12.6716
5.47,12.6716
5.52,12.6756
5.58,12.6809
5.63,12.6796
5.68,12.6830
5.75,12.6924
5.80,12.6877
5.85,12.6897
5.91,12.6930
5.96,12.6937
6.01,12.6957
6.07,12.7044
6.13,12.7018
6.18,12.7031
6.26,12.7092
6.31,12.7085
6.36,12.7105
6.43,12.7152
6.48,12.7145
6.53,12.7159
6.59,12.7199
6.64,12.7185
6.69,12.7206
6.77,12.7293
6.82,12.7246
6.87,12.7266
6.93,12.7347
6.98,12.7293
7.03,12.7320
7.11,12.7360
7.16,12.7373
7.22,12.7400
7.27,12.7494
7.33,12.7454
7.38,12.7474
7.45,12.7508
7.50,12.7508
7.55,12.7541
7.61,12.7582
7.66,12.7561
7.71,12.7582
7.78,12.7669
7.83,12.7608
7.88,12.7602
7.95,12.7675
8.00,12.7656
8.05,12.7669
8.11,12.7770
8.16,12.7696
8.21,12.7702
8.26,12.7756
8.31,12.7756
8.36,12.7729
8.41,12.7749
8.47,12.7823
8.52,12.7763
8.58,12.7776
8.64,12.7817
8.69,12.7796
8.75,12.7803
8.81,12.7884
8.87,12.7823
8.92,12.7823
8.98,12.7857
9.03,12.7857
9.08,12.7863
9.13,12.7917
9.19,12.7917
9.24,12.7884
9.29,12.7897
9.34,12.7944
9.40,12.7911
9.45,12.7917
9.50,12.7964
9.55,12.7971
9.60,12.7944
9.66,12.7951
9.72,12.8018
9.77,12.7964
9.82,12.7971
9.88,12.8032
9.93,12.7984
9.98,12.7998
10.06,12.8005
10.11,12.8018
10.16,12.8025
