"Time (s)","Position (mm)"
0,1.19E-11
0.005,1.19E-11
0.01,1.19E-11
0.015,1.19E-11
0.02,1.19E-11
0.025,1.19E-11
0.03,1.19E-11
0.035,1.19E-11
0.04,1.19E-11
0.045,1.19E-11
0.05,1.19E-11
0.055,1.19E-11
0.06,1.19E-11
0.065,1.19E-11
0.07,1.19E-11
0.075,1.19E-11
0.08,1.19E-11
0.085,1.19E-11
0.09,1.19E-11
0.095,1.19E-11
0.1,1.19E-11
0.105,1.19E-11
0.11,1.19E-11
0.115,1.19E-11
0.12,1.19E-11
0.125,1.19E-11
0.13,1.19E-11
0.135,1.19E-11
0.14,1.19E-11
0.145,1.19E-11
0.15,1.19E-11
0.155,1.19E-11
0.16,1.19E-11
0.165,1.19E-11
0.17,1.19E-11
0.175,1.19E-11
0.18,1.19E-11
0.185,1.19E-11
0.19,1.19E-11
0.195,1.19E-11
0.2,1.19E-11
0.205,1.19E-11
0.21,1.19E-11
0.215,1.19E-11
0.22,1.19E-11
0.225,1.19E-11
0.23,1.19E-11
0.235,1.19E-11
0.24,1.19E-11
0.245,1.19E-11
0.25,1.19E-11
0.255,2.36E-07
0.26,4.85E-05
0.265,0.000499
0.27,0.002465
0.275,0.007431
0.28,0.016531
0.285,0.030335
0.29,0.048615
0.295,0.070615
0.3,0.095249
0.305,0.121227
0.31,0.147634
0.315,0.17398
0.32,0.199926
0.325,0.22545
0.33,0.250667
0.335,0.27564
0.34,0.30052
0.345,0.325478
0.35,0.35054
0.355,0.37566
0.36,0.400819
0.365,0.425963
0.37,0.451078
0.375,0.476216
0.38,0.5013
0.385,0.526309
0.39,0.551295
0.395,0.576247
0.4,0.601209
0.405,0.62624
0.41,0.651323
0.415,0.676403
0.42,0.701456
0.425,0.726512
0.43,0.751683
0.435,0.776965
0.44,0.802203
0.445,0.827264
0.45,0.852227
0.455,0.877156
0.46,0.902072
0.465,0.926976
0.47,0.951855
0.475,0.976791
0.48,1.001828
0.485,1.026858
0.49,1.051853
0.495,1.076847
0.5,1.101866
0.505,1.126973
0.51,1.152114
0.515,1.177201
0.52,1.202296
0.525,1.227396
0.53,1.252342
0.535,1.277181
0.54,1.302014
0.545,1.326903
0.55,1.351962
0.555,1.377192
0.56,1.402461
0.565,1.427655
0.57,1.452628
0.575,1.477402
0.58,1.502243
0.585,1.527179
0.59,1.5521
0.595,1.577086
0.6,1.602137
0.605,1.627144
0.61,1.652122
0.615,1.677149
0.62,1.702157
0.625,1.726776
0.63,1.75035
0.635,1.772226
0.64,1.791901
0.645,1.809025
0.65,1.823465
0.655,1.835236
0.66,1.844648
0.665,1.852379
0.67,1.859236
0.675,1.865861
0.68,1.872693
0.685,1.879935
0.69,1.887533
0.695,1.895337
0.7,1.903188
0.705,1.910911
