Time (s),Position (mm)
0,4.71E-12
0.005,4.71E-12
0.01,4.71E-12
0.015,4.71E-12
0.02,4.71E-12
0.025,4.71E-12
0.03,4.71E-12
0.035,4.71E-12
0.04,4.71E-12
0.045,4.71E-12
0.05,4.71E-12
0.055,4.71E-12
0.06,4.71E-12
0.065,4.71E-12
0.07,4.71E-12
0.075,4.71E-12
0.08,4.71E-12
0.085,4.71E-12
0.09,4.71E-12
0.095,4.71E-12
0.1,4.71E-12
0.105,4.71E-12
0.11,4.71E-12
0.115,4.71E-12
0.12,4.71E-12
0.125,4.71E-12
0.13,4.71E-12
0.135,4.71E-12
0.14,4.71E-12
0.145,4.71E-12
0.15,4.71E-12
0.155,4.71E-12
0.16,4.71E-12
0.165,4.71E-12
0.17,4.71E-12
0.175,4.71E-12
0.18,4.71E-12
0.185,4.71E-12
0.19,1.96E-05
0.195,0.00026
0.2,0.001464
0.205,0.004908
0.21,0.011803
0.215,0.02291
0.22,0.038408
0.225,0.057974
0.23,0.080787
0.235,0.105774
0.24,0.131826
0.245,0.158078
0.25,0.184121
0.255,0.209794
0.26,0.235103
0.265,0.260183
0.27,0.285146
0.275,0.310027
0.28,0.33494
0.285,0.359958
0.29,0.38506
0.295,0.410196
0.3,0.435322
0.305,0.460412
0.31,0.48546
0.315,0.510474
0.32,0.535467
0.325,0.560481
0.33,0.585509
0.335,0.610521
0.34,0.635528
0.345,0.660578
0.35,0.685654
0.355,0.710711
0.36,0.735765
0.365,0.760867
0.37,0.786101
0.375,0.81138
0.38,0.836506
0.385,0.861448
0.39,0.886377
0.395,0.9114
0.4,0.936483
0.405,0.96149
0.41,0.986359
0.415,1.011205
0.42,1.036127
0.425,1.061107
0.43,1.086089
0.435,1.111056
0.44,1.136034
0.445,1.161095
0.45,1.186264
0.455,1.211488
0.46,1.236683
0.465,1.261698
0.47,1.286498
0.475,1.311241
0.48,1.336082
0.485,1.36109
0.49,1.386285
0.495,1.411543
0.5,1.436769
0.505,1.46186
0.51,1.486692
0.515,1.511442
0.52,1.536324
0.525,1.561238
0.53,1.586144
0.535,1.611139
0.54,1.636189
0.545,1.66121
0.55,1.686215
0.555,1.711282
0.56,1.736426
0.565,1.761605
0.57,1.78676
0.575,1.811748
0.58,1.836219
0.585,1.859592
0.59,1.881258
0.595,1.900766
0.6,1.917826
0.605,1.932426
0.61,1.944988
0.615,1.956273
0.62,1.966994
0.625,1.977494
0.63,1.987549
0.635,1.996535
0.64,2.003825
0.645,2.009203
0.65,2.012928
0.655,2.01551
0.66,2.017499
0.665,2.019347
0.67,2.021296
0.675,2.02341
0.68,2.025702
0.685,2.028165
0.69,2.030791
0.695,2.033556
0.7,2.036361
0.705,2.039113
0.71,2.041761
0.715,2.044308
0.72,2.046827
0.725,2.049571
0.73,2.053021
0.735,2.057474
0.74,2.062919
0.745,2.069125
0.75,2.075709
0.755,2.082313
0.76,2.088726
0.765,2.094965
0.77,2.101159
0.775,2.107404
0.78,2.113683
0.785,2.11997
0.79,2.126244
0.795,2.132448
0.8,2.138595
0.805,2.14476
0.81,2.150942
0.815,2.157093
0.82,2.163145
0.825,2.169078
0.83,2.175
0.835,2.180992
0.84,2.187079
0.845,2.193256
0.85,2.199504
0.855,2.205781
0.86,2.212071
0.865,2.218409
0.87,2.224776
0.875,2.231083
0.88,2.237224
0.885,2.243089
0.89,2.24868
0.895,2.254148
0.9,2.259635
0.905,2.265206
0.91,2.270856
0.915,2.276534
0.92,2.282154
0.925,2.287543
0.93,2.292569
0.935,2.297224
0.94,2.301551
0.945,2.305631
0.95,2.309551
0.955,2.313371
0.96,2.317187
0.965,2.32109
0.97,2.325124
0.975,2.329255
0.98,2.333448
0.985,2.33769
0.99,2.34192
0.995,2.346115
1,2.35029
1.005,2.354445
1.01,2.358603
1.015,2.362811
1.02,2.367087
1.025,2.371355
1.03,2.375497
1.035,2.379464
1.04,2.38328
1.045,2.386984
1.05,2.390618
1.055,2.394199
1.06,2.397737
1.065,2.4013
1.07,2.405009
1.075,2.408844
1.08,2.412713
1.085,2.416554
1.09,2.420316
1.095,2.42395
1.1,2.427474
1.105,2.430946
1.11,2.434431
1.115,2.437977
1.12,2.441611
1.125,2.445349
1.13,2.449194
1.135,2.453136
1.14,2.457105
1.145,2.460984
1.15,2.464679
1.155,2.468218
1.16,2.471678
1.165,2.475134
1.17,2.47867
1.175,2.482315
1.18,2.485996
1.185,2.489592
1.19,2.493041
1.195,2.496343
1.2,2.499542
1.205,2.50268
1.21,2.505805
1.215,2.508935
1.22,2.512064
1.225,2.515224
1.23,2.51844
1.235,2.521656
1.24,2.52477
1.245,2.527699
1.25,2.53041
1.255,2.532944
1.26,2.535389
1.265,2.53781
1.27,2.540209
1.275,2.542605
1.28,2.545021
1.285,2.547469
1.29,2.54996
1.295,2.552502
1.3,2.555083
1.305,2.557691
1.31,2.560313
1.315,2.562921
1.32,2.565478
1.325,2.567974
1.33,2.570402
1.335,2.57279
1.34,2.575173
1.345,2.577572
1.35,2.579965
1.355,2.582321
1.36,2.584685
1.365,2.587142
1.37,2.589711
1.375,2.59234
1.38,2.59496
1.385,2.597522
1.39,2.59998
1.395,2.602329
1.4,2.604618
1.405,2.606918
1.41,2.609259
1.415,2.611588
1.42,2.613869
1.425,2.616147
1.43,2.618448
1.435,2.620777
1.44,2.623157
1.445,2.625606
1.45,2.628095
1.455,2.630558
1.46,2.632951
1.465,2.635288
1.47,2.637604
1.475,2.639915
1.48,2.642203
1.485,2.644446
1.49,2.646635
1.495,2.648773
1.5,2.650877
1.505,2.652962
1.51,2.655029
1.515,2.657089
1.52,2.659144
1.525,2.66116
1.53,2.663113
1.535,2.664999
1.54,2.666842
1.545,2.668691
1.55,2.670614
1.555,2.672607
1.56,2.6746
1.565,2.676533
1.57,2.678399
1.575,2.680211
1.58,2.68198
1.585,2.683714
1.59,2.685414
1.595,2.687058
1.6,2.688657
1.605,2.690277
1.61,2.691971
1.615,2.693742
1.62,2.695558
1.625,2.697387
1.63,2.69923
1.635,2.701102
1.64,2.70297
1.645,2.704775
1.65,2.706491
1.655,2.708114
1.66,2.709652
1.665,2.711163
1.67,2.71271
1.675,2.714307
1.68,2.715954
1.685,2.717645
1.69,2.719335
1.695,2.721003
1.7,2.722646
1.705,2.724283
1.71,2.725939
1.715,2.72762
1.72,2.729314
1.725,2.731019
1.73,2.732727
1.735,2.734432
1.74,2.736139
1.745,2.737856
1.75,2.739579
1.755,2.741318
1.76,2.743111
1.765,2.744977
1.77,2.74687
1.775,2.748724
1.78,2.750496
1.785,2.752188
1.79,2.753818
1.795,2.755397
1.8,2.756921
1.805,2.758385
1.81,2.759796
1.815,2.761158
1.82,2.762463
1.825,2.763725
1.83,2.764968
1.835,2.766218
1.84,2.767487
1.845,2.768773
1.85,2.770067
1.855,2.771365
1.86,2.772668
1.865,2.77397
1.87,2.775269
1.875,2.776574
1.88,2.777895
1.885,2.779248
1.89,2.780647
1.895,2.782071
1.9,2.78348
1.905,2.784861
1.91,2.786225
1.915,2.787578
1.92,2.788908
1.925,2.790199
1.93,2.791454
1.935,2.792691
1.94,2.793926
1.945,2.795163
1.95,2.796399
1.955,2.797631
1.96,2.798871
1.965,2.800135
1.97,2.801412
1.975,2.802693
1.98,2.80397
1.985,2.805231
1.99,2.806475
1.995,2.807695
2,2.808889
2.005,2.810053
2.01,2.81117
2.015,2.812248
2.02,2.813337
2.025,2.814474
2.03,2.815673
2.035,2.816937
2.04,2.818291
2.045,2.819748
2.05,2.821245
2.055,2.822687
2.06,2.824031
2.065,2.825305
2.07,2.826557
2.075,2.827803
2.08,2.829033
2.085,2.830241
2.09,2.831427
2.095,2.832602
2.1,2.833772
2.105,2.834935
2.11,2.836086
2.115,2.83722
2.12,2.838333
2.125,2.839419
2.13,2.840484
2.135,2.841532
2.14,2.842565
2.145,2.843578
2.15,2.844578
2.155,2.845579
2.16,2.84661
2.165,2.847697
2.17,2.848822
2.175,2.849955
2.18,2.851059
2.185,2.852116
2.19,2.853135
2.195,2.854145
2.2,2.855151
2.205,2.856147
2.21,2.85712
2.215,2.858048
2.22,2.858928
2.225,2.85978
2.23,2.860631
2.235,2.861506
2.24,2.862422
2.245,2.863374
2.25,2.864356
2.255,2.865357
2.26,2.866362
2.265,2.867357
2.27,2.868337
2.275,2.869307
2.28,2.870274
2.285,2.871245
2.29,2.872232
2.295,2.873234
2.3,2.874243
2.305,2.875247
2.31,2.876246
2.315,2.877237
2.32,2.878217
2.325,2.879194
2.33,2.880177
2.335,2.881176
2.34,2.882204
2.345,2.883247
2.35,2.884284
2.355,2.885296
2.36,2.886295
2.365,2.887298
2.37,2.888303
2.375,2.88932
2.38,2.890384
2.385,2.891521
2.39,2.892697
2.395,2.893848
2.4,2.894936
2.405,2.895956
2.41,2.896915
2.415,2.897822
2.42,2.898681
2.425,2.899497
2.43,2.900272
2.435,2.90101
2.44,2.901717
2.445,2.902405
2.45,2.903087
2.455,2.90376
2.46,2.904433
2.465,2.905128
2.47,2.905856
2.475,2.906629
2.48,2.907456
2.485,2.908343
2.49,2.90927
2.495,2.910192
2.5,2.911065
2.505,2.911853
2.51,2.912541
