Time (s),Position (mm)
0,4.72E-12
0.005,4.72E-12
0.01,4.72E-12
0.015,4.72E-12
0.02,4.72E-12
0.025,4.72E-12
0.03,4.72E-12
0.035,4.72E-12
0.04,4.72E-12
0.045,4.72E-12
0.05,4.72E-12
0.055,4.72E-12
0.06,4.72E-12
0.065,4.72E-12
0.07,4.72E-12
0.075,4.72E-12
0.08,4.72E-12
0.085,4.72E-12
0.09,4.72E-12
0.095,4.72E-12
0.1,4.72E-12
0.105,4.72E-12
0.11,4.72E-12
0.115,4.72E-12
0.12,4.72E-12
0.125,4.72E-12
0.13,4.72E-12
0.135,4.72E-12
0.14,4.72E-12
0.145,4.72E-12
0.15,4.72E-12
0.155,4.72E-12
0.16,4.72E-12
0.165,4.72E-12
0.17,4.72E-12
0.175,4.72E-12
0.18,4.72E-12
0.185,4.72E-12
0.19,4.72E-12
0.195,4.72E-12
0.2,1.73E-05
0.205,0.000392
0.21,0.002186
0.215,0.006657
0.22,0.014834
0.225,0.027358
0.23,0.04426
0.235,0.064974
0.24,0.088623
0.245,0.114045
0.25,0.140156
0.255,0.166347
0.26,0.192282
0.265,0.217812
0.27,0.243026
0.275,0.268009
0.28,0.292853
0.285,0.317679
0.29,0.342593
0.295,0.367606
0.3,0.39268
0.305,0.417777
0.31,0.442864
0.315,0.467941
0.32,0.493028
0.325,0.518121
0.33,0.543221
0.335,0.56831
0.34,0.593336
0.345,0.618293
0.35,0.643251
0.355,0.668206
0.36,0.69314
0.365,0.718083
0.37,0.743146
0.375,0.768405
0.38,0.793743
0.385,0.81895
0.39,0.84397
0.395,0.868916
0.4,0.893839
0.405,0.918729
0.41,0.943574
0.415,0.968423
0.42,0.993329
0.425,1.018299
0.43,1.043314
0.435,1.068351
0.44,1.093392
0.445,1.118464
0.45,1.143622
0.455,1.168838
0.46,1.194061
0.465,1.219237
0.47,1.244241
0.475,1.269036
0.48,1.293754
0.485,1.318511
0.49,1.343395
0.495,1.36851
0.5,1.393759
0.505,1.419029
0.51,1.444185
0.515,1.469093
0.52,1.493918
0.525,1.518857
0.53,1.543815
0.535,1.56875
0.54,1.593764
0.545,1.618807
0.55,1.643798
0.555,1.668808
0.56,1.693874
0.565,1.718954
0.57,1.744058
0.575,1.769178
0.58,1.79427
0.585,1.819142
0.59,1.843358
0.595,1.866361
0.6,1.887605
0.605,1.906593
0.61,1.923029
0.615,1.937097
0.62,1.949491
0.625,1.960996
0.63,1.972192
0.635,1.983246
0.64,1.993704
0.645,2.002799
0.65,2.009942
0.655,2.015047
0.66,2.018486
0.665,2.020827
0.67,2.022627
0.675,2.024305
0.68,2.026101
0.685,2.0281
0.69,2.030293
0.695,2.03264
0.7,2.0351
0.705,2.037598
0.71,2.040054
0.715,2.042434
0.72,2.044798
0.725,2.047406
0.73,2.050732
0.735,2.055033
0.74,2.06013
0.745,2.065643
0.75,2.0713
0.755,2.076995
0.76,2.082698
0.765,2.0884
0.77,2.09412
0.775,2.099883
0.78,2.105649
0.785,2.111362
0.79,2.117022
0.795,2.122663
0.8,2.128301
0.805,2.133924
0.81,2.139474
0.815,2.144897
0.82,2.150204
0.825,2.155468
0.83,2.160788
0.835,2.166229
0.84,2.171799
0.845,2.177489
0.85,2.183266
0.855,2.189081
0.86,2.194903
0.865,2.200717
0.87,2.206488
0.875,2.212164
0.88,2.217719
0.885,2.223139
0.89,2.228462
0.895,2.233764
0.9,2.239099
0.905,2.244502
0.91,2.250014
0.915,2.255643
0.92,2.261323
0.925,2.266959
0.93,2.272471
0.935,2.277751
0.94,2.282706
0.945,2.28733
0.95,2.291657
0.955,2.295761
0.96,2.299777
0.965,2.303822
0.97,2.307983
0.975,2.312251
0.98,2.316606
0.985,2.32108
0.99,2.325656
0.995,2.330261
1,2.33478
1.005,2.339146
1.01,2.343438
