"Time (s)","Position (mm)"
0,4.74E-12
0.005,4.74E-12
0.01,4.74E-12
0.015,4.74E-12
0.02,4.74E-12
0.025,4.74E-12
0.03,4.74E-12
0.035,4.74E-12
0.04,4.74E-12
0.045,4.74E-12
0.05,4.74E-12
0.055,4.74E-12
0.06,4.74E-12
0.065,4.74E-12
0.07,4.74E-12
0.075,4.74E-12
0.08,4.74E-12
0.085,4.74E-12
0.09,4.74E-12
0.095,4.74E-12
0.1,4.74E-12
0.105,4.74E-12
0.11,4.74E-12
0.115,4.74E-12
0.12,4.74E-12
0.125,4.74E-12
0.13,4.74E-12
0.135,4.74E-12
0.14,4.74E-12
0.145,4.74E-12
0.15,4.74E-12
0.155,4.74E-12
0.16,4.74E-12
0.165,4.74E-12
0.17,4.74E-12
0.175,4.74E-12
0.18,4.74E-12
0.185,4.74E-12
0.19,4.74E-12
0.195,4.74E-12
0.2,4.74E-12
0.205,4.74E-12
0.21,4.74E-12
0.215,4.74E-12
0.22,4.74E-12
0.225,4.74E-12
0.23,4.74E-12
0.235,4.74E-12
0.24,4.74E-12
0.245,4.74E-12
0.25,4.74E-12
0.255,6.48E-06
0.26,0.000139
0.265,0.00094
0.27,0.003667
0.275,0.009759
0.28,0.020193
0.285,0.035225
0.29,0.054512
0.295,0.077214
0.3,0.102104
0.305,0.128113
0.31,0.15448
0.315,0.180641
0.32,0.206426
0.325,0.231829
0.33,0.256875
0.335,0.281778
0.34,0.306734
0.345,0.331754
0.35,0.356844
0.355,0.38199
0.36,0.407108
0.365,0.432212
0.37,0.457329
0.375,0.482374
0.38,0.507388
0.385,0.532406
0.39,0.557379
0.395,0.582364
0.4,0.607425
0.405,0.632531
0.41,0.657656
0.415,0.682746
0.42,0.707795
0.425,0.732946
0.43,0.758209
0.435,0.783392
0.44,0.808397
0.445,0.833331
0.45,0.858244
0.455,0.883163
0.46,0.908126
0.465,0.933067
0.47,0.958034
0.475,0.983094
0.48,1.008133
0.485,1.033094
0.49,1.058023
0.495,1.082983
0.5,1.108063
0.505,1.133187
0.51,1.158269
0.515,1.183392
0.52,1.208501
0.525,1.233428
0.53,1.258242
0.535,1.283031
0.54,1.307883
0.545,1.332945
0.55,1.35818
0.555,1.383418
0.56,1.408586
0.565,1.433578
0.57,1.458387
0.575,1.48328
0.58,1.508256
0.585,1.533205
0.59,1.558245
0.595,1.583297
0.6,1.608269
0.605,1.633283
0.61,1.658368
0.615,1.683453
0.62,1.708451
0.625,1.733058
0.63,1.756755
0.635,1.778902
0.64,1.79888
0.645,1.816287
0.65,1.830963
0.655,1.842952
0.66,1.852595
0.665,1.860549
0.67,1.867528
0.675,1.874091
0.68,1.88061
0.685,1.887256
0.69,1.894034
0.695,1.900858
0.7,1.907692
0.705,1.914574
