Time (s),Position (mm)
0,4.61E-12
0.005,4.61E-12
0.01,4.61E-12
0.015,4.61E-12
0.02,4.61E-12
0.025,4.61E-12
0.03,4.61E-12
0.035,4.61E-12
0.04,4.61E-12
0.045,4.61E-12
0.05,4.61E-12
0.055,4.61E-12
0.06,4.61E-12
0.065,4.61E-12
0.07,4.61E-12
0.075,4.61E-12
0.08,4.61E-12
0.085,4.61E-12
0.09,4.61E-12
0.095,4.61E-12
0.1,4.61E-12
0.105,4.61E-12
0.11,4.61E-12
0.115,4.61E-12
0.12,4.61E-12
0.125,4.61E-12
0.13,4.61E-12
0.135,4.61E-12
0.14,4.61E-12
0.145,4.61E-12
0.15,4.61E-12
0.155,4.61E-12
0.16,4.61E-12
0.165,4.61E-12
0.17,4.61E-12
0.175,4.61E-12
0.18,4.61E-12
0.185,4.61E-12
0.19,2.36E-07
0.195,6.90E-05
0.2,0.000777
0.205,0.003337
0.21,0.009056
0.215,0.018905
0.22,0.033285
0.225,0.051876
0.23,0.073863
0.235,0.09823
0.24,0.12393
0.245,0.150087
0.25,0.176173
0.255,0.201937
0.26,0.227342
0.265,0.252489
0.27,0.277422
0.275,0.302304
0.28,0.327285
0.285,0.352306
0.29,0.377399
0.295,0.402537
0.3,0.427601
0.305,0.452647
0.31,0.477839
0.315,0.503101
0.32,0.528242
0.325,0.553271
0.33,0.578206
0.335,0.603083
0.34,0.628022
0.345,0.653028
0.35,0.678052
0.355,0.703074
0.36,0.72803
0.365,0.752977
0.37,0.778041
0.375,0.80316
0.38,0.828198
0.385,0.853184
0.39,0.878176
0.395,0.903299
0.4,0.928523
0.405,0.953709
0.41,0.978737
0.415,1.003654
0.42,1.028529
0.425,1.053384
0.43,1.078261
0.435,1.103131
0.44,1.128063
0.445,1.153076
0.45,1.178101
0.455,1.203102
0.46,1.228074
0.465,1.253056
0.47,1.278152
0.475,1.303356
0.48,1.328578
0.485,1.353798
0.49,1.378866
0.495,1.40373
0.5,1.428537
0.505,1.453369
0.51,1.478257
0.515,1.503311
0.52,1.528496
0.525,1.553708
0.53,1.578864
0.535,1.603827
0.54,1.62864
0.545,1.653536
0.55,1.678487
0.555,1.70342
0.56,1.728439
0.565,1.75354
0.57,1.778585
0.575,1.803562
0.58,1.828563
0.585,1.853619
0.59,1.8787
0.595,1.903733
0.6,1.928707
0.605,1.953687
0.61,1.978684
0.615,2.003659
0.62,2.02857
0.625,2.053045
0.63,2.076399
0.635,2.098018
0.64,2.117479
0.645,2.134484
0.65,2.148851
0.655,2.160554
0.66,2.169679
0.665,2.176459
0.67,2.181378
0.675,2.185106
0.68,2.188364
0.685,2.191692
0.69,2.195303
0.695,2.19916
0.7,2.20316
0.705,2.207157
0.71,2.211016
0.715,2.214747
0.72,2.218399
0.725,2.221976
0.73,2.225507
0.735,2.229024
0.74,2.232514
0.745,2.235953
0.75,2.239328
0.755,2.242633
0.76,2.245876
0.765,2.2491
0.77,2.252316
0.775,2.255508
0.78,2.258672
0.785,2.261831
0.79,2.265022
0.795,2.268254
0.8,2.271524
0.805,2.274822
0.81,2.278111
0.815,2.28136
0.82,2.284558
0.825,2.287706
0.83,2.290773
0.835,2.293779
0.84,2.2969
0.845,2.300421
0.85,2.304479
0.855,2.309038
0.86,2.313992
0.865,2.31919
0.87,2.32448
0.875,2.32975
0.88,2.33495
0.885,2.340124
0.89,2.345325
0.895,2.350501
0.9,2.355612
0.905,2.360648
0.91,2.36559
0.915,2.370394
0.92,2.375125
0.925,2.379893
0.93,2.384697
0.935,2.389476
0.94,2.394183
0.945,2.398829
0.95,2.403431
0.955,2.407971
0.96,2.412408
0.965,2.416767
0.97,2.421163
0.975,2.425646
0.98,2.430169
0.985,2.434635
0.99,2.439014
0.995,2.443373
1,2.447764
1.005,2.452212
1.01,2.456718
1.015,2.461258
1.02,2.465762
1.025,2.470162
1.03,2.474424
